Gene_ID,Mesenchymal,Epithelial
2978_AT1,1.590799327,-7.62487676
1571_AT1,6.046028716,3.480440541
1549_AT1,2.358337724,3.101581496
1548_AT1,2.358337724,3.101581496
949_AT1,8.881952604,8.613039271
113235_AT1,5.926027164,4.068470184
90423_AT1,6.745531652,7.281060532
54965_AT1,9.543770503,9.929981397
84920_AT1,4.742894393,3.923414371
5150_AT2,4.615360441,4.813277245
157506_AT1,6.282171178,5.851930437
2593_AT1,4.941575055,-4.718709196
113026_AT1,7.277256241,8.479174542
91734_AT1,6.79030482,5.97197314
1584_AT1,2.749991057,3.200679665
142680_AT1,3.047124869,4.224442688
57094_AT1,-1.502265924,-2.820026602
245973_AT1,4.083791462,4.151110603
32_AT1,3.748168733,3.398834755
84679_AT1,3.918073363,5.233111739
114134_AT1,4.63259191,3.400712833
124637_AT1,9.057521013,8.214341885
23057_AT1,3.151511337,2.890560495
6521_AT1,2.522526575,0.466627707
90161_AT1,-0.314604259,2.629278367
9481_AT1,5.804594384,1.23747586
115111_AT1,-0.309048978,0.166090201
192134_AT1,2.525589242,-0.273623801
266722_AT1,2.94536319,3.067270487
10861_AT1,2.519222447,3.399292653
124872_AT1,0.533781784,2.300582768
5151_AT5,5.225285376,5.833265572
93010_AT1,-1.132338868,1.991343087
3038_AT2,10.15416385,11.07575335
6821_AT1,5.921526601,6.747087652
8396_AT1,5.077482358,5.167694959
116255_AT1,5.238237321,5.520798756
121214_AT1,2.983881568,2.426280055
245972_AT1,-1.412866609,2.271373109
8654_AT2,4.527763262,4.79342616
206358_AT1,1.371888931,2.015730083
257068_AT1,2.128027793,3.001422958
160851_AT1,3.334715199,5.321454265
6526_AT1,4.187425827,3.911106015
6571_AT1,4.666302255,3.560860477
131669_AT1,0.794871801,3.376775183
125965_AT1,3.345851574,4.148811933
246213_AT1,-2.157056622,-5.588878694
221223_AT1,1.719266175,2.50411206
1607_AT2,0.796691064,-1.299196064
3177_AT1,4.582234835,4.390227792
148789_AT1,3.828126626,1.76153474
84869_AT1,5.149470286,5.588152273
5286_AT1,3.82106457,3.690753399
283358_AT1,-1.687859314,1.330477826
79369_AT1,2.976830473,-4.117451871
122481_AT1,3.742507835,9.014391045
266740_AT1,5.097050685,5.122576702
160287_AT1,0.988063427,1.63539005
200576_AT1,4.340188714,3.46420311
125981_AT1,3.241252948,2.518639639
126792_AT1,8.6130171,7.031090367
1056_AT1,5.048483187,6.13107738
875_AT1,10.93424987,10.81711341
51302_AT1,4.750197156,-1.79505893
1841_AT1,10.81349179,10.86294245
4907_AT1,-2.564564402,3.07402778
8671_AT1,4.093319121,2.498146807
411_AT1,4.552635495,4.902679404
10558_AT1,7.408151673,7.93730881
6419_AT1,2.730685538,2.920056825
79707_AT1,7.210982818,7.674905113
957_AT1,4.885545883,4.612527478
9498_AT1,-2.08728364,3.072046252
51144_AT1,2.589828687,3.041610524
9197_AT1,7.111629329,5.760275238
4967_AT1,5.861219727,6.566472936
55217_AT1,6.507782715,6.907460197
204219_AT1,2.907692874,3.451399627
1588_AT1,-2.746421456,-0.5263651
3176_AT1,2.766212736,3.250185186
3707_AT1,1.794842049,2.928592494
25796_AT1,3.946895961,-0.131162748
124583_AT1,3.934713115,0.976311885
93034_AT2,1.502487996,-1.338319755
9200_AT1,3.886703785,4.698196728
5137_AT1,3.675825878,3.643021667
113451_AT1,3.798484508,3.04945752
55293_AT1,5.715249154,6.787473467
7083_AT1,9.336531577,10.51561457
7903_AT1,2.092799611,2.880710263
26002_AT1,5.551075091,-0.179263867
27068_AT4,5.359291362,4.887733663
54988_AT1,-4.808416253,-2.194552947
1806_AT1,0.398592845,1.557285571
79723_AT1,8.755763854,8.7066982
1727_AT1,4.720431357,4.211870028
10380_AT1,5.11595891,5.534693933
6511_AT1,-1.276972459,-2.354805159
8526_AT1,7.829412607,7.203241139
9962_AT1,3.357234408,0.799235962
7298_AT1,8.922735744,8.307013314
5144_AT1,3.156187671,4.310952371
4705_AT1,4.267225935,4.766044352
6538_AT1,8.428988977,3.944693108
6548_AT1,3.010804864,2.537918772
3632_AT1,2.941400267,3.865964211
8622_AT1,1.402788884,-1.86025821
52_AT2,-2.22996825,-3.888242019
113_AT1,3.246646784,2.662843801
84002_AT1,2.922640071,2.789947051
1579_AT1,-2.081163135,-0.374517131
441024_AT1,5.294426029,3.967128212
6557_AT1,-2.810725761,2.02680701
525_AT1,3.845230009,3.350667534
113612_AT1,2.803126957,1.752556317
54511_AT1,0.280924095,0.945462916
5825_AT1,5.246480237,6.25537027
84105_AT1,6.482178403,8.628125288
85320_AT1,1.678744276,1.534945769
10257_AT1,4.095715551,3.823074818
26027_AT1,1.031265145,1.662039375
38_AT1,5.801458849,-1.890236461
91703_AT1,3.232060372,2.61479612
5743_AT1,-6.597744044,-2.67057492
8871_AT1,0.059019595,3.997491157
8974_AT1,-1.418466788,2.587009053
3417_AT1,9.806610238,10.66780738
4668_AT1,8.198171769,7.96266637
51496_AT1,2.681531483,2.054824499
23545_AT1,5.230519269,3.454337005
6556_AT1,-5.774589857,3.633660024
956_AT1,0.357844051,-7.080036492
10135_AT1,3.597787429,4.118989017
6487_AT3,1.248452259,-2.635835497
6898_AT1,-2.239473298,-6.913197104
9677_AT1,6.366219086,6.159005501
57835_AT1,2.299209149,2.509130433
2729_AT1,2.69831584,1.001854363
121278_AT1,-1.6653934,-0.300065492
89872_AT1,-2.067451674,-4.61543108
55089_AT1,-0.010096412,-0.90426968
9583_AT1,2.588986162,2.265126869
9091_AT1,5.207219251,3.93017826
2583_AT1,2.172035457,3.067687601
10026_AT1,3.046141048,2.346145994
58508_AT1,4.010320265,4.160994014
247_AT1,-6.564732733,-5.845151433
427_AT1,4.293539741,5.972254252
767_AT1,1.395043978,-2.070874738
3658_AT1,6.566514734,5.524882459
1580_AT1,1.75482984,3.144848326
7299_AT1,-2.637433439,1.27744042
10993_AT1,2.589589107,1.898688187
10864_AT1,7.955709234,7.644244484
55757_AT1,5.691936775,3.616630613
765_AT1,1.936987462,-1.195756054
55750_AT1,3.323200024,2.330548574
1645_AT1,2.886395405,3.32355261
1646_AT1,2.886395405,3.32355261
5160_AT1,11.99234356,11.46065845
6573_AT1,5.703905832,5.451240329
64087_AT1,4.104374963,5.041458678
6546_AT1,3.187111335,0.826449958
160428_AT1,5.455961784,3.534091847
5337_AT1,2.257798269,1.320356941
374569_AT1,0.391657934,-2.170775526
30833_AT1,4.772243366,5.341520154
10060_AT1,-1.413691608,-6.046845782
686_AT1,1.894066602,-6.992681379
4701_AT1,8.150232475,6.470242608
2582_AT1,-1.722347699,2.779964799
2628_AT1,0.880420228,1.699521486
1487_AT1,-1.525314042,2.088089084
55277_AT1,-2.253871638,3.18624096
6566_AT1,3.284463813,0.497369551
249_AT1,-2.608560555,-5.590173586
1267_AT1,5.517133084,6.349714797
5336_AT1,-1.268378965,-5.749533889
6506_AT1,-3.841808382,0.543394103
1356_AT1,-6.14007338,4.588470764
130752_AT1,5.486527348,5.666243379
2531_AT1,7.790973604,5.959904701
284098_AT1,10.80235776,9.665956096
5230_AT1,7.261389189,5.078268487
10057_AT1,5.694740071,7.528882843
66035_AT1,3.485762846,5.335024153
8876_AT1,-2.260002516,1.132907955
480_AT1,0.812991781,-5.51087881
5136_AT2,7.153498092,6.67997186
119548_AT1,0.413285512,1.793671735
10588_AT1,3.143030014,-1.758785382
112724_AT1,11.16323423,11.90609657
79813_AT1,3.165136397,3.408768748
55349_AT1,2.947153231,1.11857376
29958_AT1,2.159513725,3.081049339
8509_AT1,5.59271472,4.832539309
2760_AT1,5.256779227,4.748380809
4297_AT1,-2.967195274,1.868514747
51706_AT1,2.405575825,2.468377549
256435_AT1,-2.010311811,-6.682230528
79623_AT1,2.063420538,1.863324327
4258_AT1,3.175667548,2.567742153
283208_AT1,1.357965993,-2.899681949
6568_AT1,-0.05751448,-5.233352097
5226_AT1,3.036850346,3.867839052
4842_AT1,2.16961577,-2.229882727
3988_AT1,-1.52414641,-2.012524379
10390_AT1,1.331336284,4.499937936
159963_AT1,2.394069159,-2.527275424
6547_AT2,-0.154243849,2.567028663
55748_AT1,3.63274506,6.336386197
1586_AT1,-1.81052448,0.597574712
4200_AT1,5.129983827,2.577190565
54981_AT1,-1.920912355,-1.411810059
2819_AT1,2.715982923,2.445986069
146664_AT1,4.791601716,5.009695355
3633_AT1,-0.071245316,-4.092899543
3295_AT1,2.525308866,1.004726521
54872_AT1,-1.467792439,3.831116659
27165_AT1,4.040997821,3.854641159
83852_AT1,3.766046943,2.623615831
2528_AT1,-1.76524502,-2.001522882
221_AT1,-1.097127753,4.531049841
10351_AT1,-1.213427119,-5.600738947
53905_AT2,3.623978949,2.648723128
55191_AT1,-1.307923042,3.350483207
122618_AT1,4.309249234,3.762088191
6507_AT1,1.985882303,0.119627092
8566_AT1,5.649075135,5.892395911
51196_AT1,2.524602986,3.059541474
2589_AT1,9.752997365,8.764539382
5296_AT1,8.877395475,9.846511714
169355_AT1,-3.203774815,-2.212470806
57194_AT1,9.220982341,9.402379621
7390_AT1,6.86027234,8.190281381
123041_AT1,5.269971042,-2.076289078
3635_AT1,-0.677286997,-0.778534245
