ids,growth,model
4697_AT1,359.9074252664501,Epithelial CSM
4833_AT1,359.90742526645005,Epithelial CSM
10400_AT2,359.90742526645005,Epithelial CSM
9468_AT1,359.90742526645005,Epithelial CSM
5631_AT1,359.90742526645005,Epithelial CSM
1431_AT2,359.90742526645005,Epithelial CSM
8776_AT1,359.90742526645005,Epithelial CSM
2169_AT1,359.90742526645005,Epithelial CSM
79966_AT1,359.90742526645005,Epithelial CSM
3176_AT1,359.90742526645005,Epithelial CSM
3295_AT1,359.90742526645005,Epithelial CSM
3930_AT1,359.90742526645005,Epithelial CSM
2584_AT1,359.90742526645005,Epithelial CSM
3704_AT2,359.90742526645005,Epithelial CSM
3945_AT1,359.90742526645005,Epithelial CSM
1374_AT1,359.90742526645005,Epithelial CSM
57282_AT1,359.90742526645005,Epithelial CSM
6888_AT1,359.90742526645005,Epithelial CSM
79071_AT1,359.90742526645005,Epithelial CSM
53947_AT1,359.90742526645005,Epithelial CSM
5052_AT2,359.90742526645005,Epithelial CSM
518_AT1,359.90742526645005,Epithelial CSM
10312_AT1,359.90742526645005,Epithelial CSM
216_AT1,359.90742526645005,Epithelial CSM
4905_AT1,310.82914000284325,Epithelial CSM
4669_AT1,359.90742526645005,Epithelial CSM
266740_AT1,359.90742526645016,Epithelial CSM
3422_AT1,359.90742526645016,Epithelial CSM
84890_AT1,359.90742526645016,Epithelial CSM
9551_AT1,359.90742526645016,Epithelial CSM
5315_AT3,359.90742526645016,Epithelial CSM
3614_AT2,359.90742526645016,Epithelial CSM
79751_AT1,359.90742526645016,Epithelial CSM
79717_AT1,359.90742526645016,Epithelial CSM
5130_AT1,359.90742526645016,Epithelial CSM
375056_AT1,359.90742526645016,Epithelial CSM
9056_AT1,359.90742526645016,Epithelial CSM
54490_AT1,359.90742526645016,Epithelial CSM
3420_AT2,359.90742526645016,Epithelial CSM
80025_AT2,359.90742526645016,Epithelial CSM
6675_AT1,359.90742526645016,Epithelial CSM
6533_AT1,359.90742526645016,Epithelial CSM
8875_AT1,359.90742526645016,Epithelial CSM
79017_AT1,359.90742526645016,Epithelial CSM
79077_AT1,359.90742526645016,Epithelial CSM
55350_AT2,359.90742526645016,Epithelial CSM
4720_AT1,359.90742526645016,Epithelial CSM
2597_AT1,359.90742526645016,Epithelial CSM
