symbol,log2fold_change,regulation
LOC100996583,-1.115894208,Downregulated
PADI6,1.124748466,Upregulated
RNF186,1.170303283,Upregulated
PLA2G2A,1.352674935,Upregulated
VWA5B1,1.036447537,Upregulated
MDS2,1.015169371,Upregulated
CATSPER4,1.203200653,Upregulated
LOC101928303,1.063335802,Upregulated
SNORA44,1.061110485,Upregulated
RNU11,1.066527585,Upregulated
ZBTB8B,1.187835772,Upregulated
C1orf94,1.114449955,Upregulated
KNCN,1.057319683,Upregulated
C8A,1.106567969,Upregulated
JUN,2.052741483,Upregulated
LOC101926964,1.133523163,Upregulated
UBE2U,1.006676893,Upregulated
C1orf141,1.13916498,Upregulated
RPE65,1.311271546,Upregulated
LRRC7,1.036351351,Upregulated
LINC01360,1.100471062,Upregulated
LHX8,1.049702497,Upregulated
LINC01361,1.148334018,Upregulated
LINC01555,1.295441706,Upregulated
CYR61,2.534534553,Upregulated
CLCA1,1.070455779,Upregulated
SNORA66,1.042677985,Upregulated
OLFM3,1.282608045,Upregulated
CHIAP2,1.056341602,Upregulated
MIR4256,-1.004851448,Downregulated
HAO2,1.175318556,Upregulated
NBPF7,1.064046685,Upregulated
RNVU1-19,1.429913804,Upregulated
RNVU1-17,1.094104676,Upregulated
RNVU1-14,1.465160315,Upregulated
RNVU1-7,1.182029723,Upregulated
MIR554,1.788781029,Upregulated
RPTN,1.252099699,Upregulated
PGLYRP4,1.017732127,Upregulated
PKLR,1.186348494,Upregulated
YY1AP1,1.051508556,Upregulated
SCARNA4,1.155159616,Upregulated
ETV3L,1.313533617,Upregulated
CD5L,1.021154552,Upregulated
SPTA1,1.492765093,Upregulated
SLAMF9,1.047997972,Upregulated
ITLN1,1.016542144,Upregulated
C1orf110,1.064059084,Upregulated
LOC100422212,1.149181104,Upregulated
FMO9P,1.356045446,Upregulated
LINC01363,1.12499727,Upregulated
SELE,1.286222901,Upregulated
SLC9C2,1.302836469,Upregulated
GAS5-AS1,-1.095298741,Downregulated
SNORD47,-1.055852621,Downregulated
SNORD77,-1.145020523,Downregulated
SCARNA3,1.069509021,Upregulated
RGSL1,1.432326152,Upregulated
PTGS2,1.628094634,Upregulated
LOC440704,1.348650887,Upregulated
RGS1,2.203646209,Upregulated
CFHR5,1.221752975,Upregulated
LINC01222,1.125183763,Upregulated
CACNA1S,1.527756565,Upregulated
LINC01136,1.373102847,Upregulated
BTG2,1.608186976,Upregulated
FCAMR,1.084464831,Upregulated
CR2,1.069520485,Upregulated
MIR29C,-1.091813442,Downregulated
MIR29B2,-1.144659122,Downregulated
ATF3,2.40673285,Upregulated
PROX1-AS1,1.636561178,Upregulated
MIR7641-2,1.267415138,Upregulated
MIR4454,1.037653276,Upregulated
LOC149373,1.234099469,Upregulated
ACTN2,1.321158418,Upregulated
LOC100130331,1.363857294,Upregulated
ZP4,1.017965442,Upregulated
LYPD8,1.069324564,Upregulated
LINC00701,1.250228808,Upregulated
KLF6,1.009932001,Upregulated
LOC101928150,1.147480846,Upregulated
LOC101928272,1.152363592,Upregulated
LINC01516,1.12807424,Upregulated
GAD2,1.038545345,Upregulated
LINC00202-2,1.097395204,Upregulated
LINC00837,1.359330599,Upregulated
C10orf126,1.2767099,Upregulated
LINC00838,1.010272114,Upregulated
PCAT5,1.054145998,Upregulated
CCNYL2,1.130727585,Upregulated
HNRNPA3P1,1.240228882,Upregulated
C10orf10,1.325364154,Upregulated
RBP3,1.016774164,Upregulated
C10orf71,1.503999914,Upregulated
A1CF,1.073547421,Upregulated
MBL2,1.131104257,Upregulated
PCDH15,1.249712947,Upregulated
CCHE1,1.075789387,Upregulated
MRLN,1.000295621,Upregulated
EGR2,1.443062971,Upregulated
CTNNA3,1.009666975,Upregulated
LOC101928994,1.061878121,Upregulated
HKDC1,1.066898165,Upregulated
EIF5AL1,1.285966679,Upregulated
LINC01519,1.39625047,Upregulated
LIPF,1.461615381,Upregulated
LGI1,1.438730212,Upregulated
CYP2C19,1.059928709,Upregulated
OPALIN,1.283273193,Upregulated
CPN1,1.062174961,Upregulated
INA,1.002271167,Upregulated
LOC101927472,1.351832994,Upregulated
SORCS3,1.056329645,Upregulated
GUCY2GP,1.158958542,Upregulated
NRAP,1.437702547,Upregulated
VAX1,1.302833846,Upregulated
ADGRA1,1.073184109,Upregulated
MUC5AC,1.178072326,Upregulated
ART5,1.022185216,Upregulated
NLRP14,1.118040264,Upregulated
CAND1.11,1.028819476,Upregulated
CALCB,1.007039496,Upregulated
INSC,1.287896948,Upregulated
OTOG,1.398053096,Upregulated
LOC494141,1.285409777,Upregulated
MRGPRX2,1.036946755,Upregulated
SLC6A5,1.313066835,Upregulated
SLC17A6,1.20857855,Upregulated
PAUPAR,1.007070223,Upregulated
C11orf96,1.132910802,Upregulated
LOC440040,1.101364017,Upregulated
OR7E5P,1.245955976,Upregulated
LOC101927120,1.140467235,Upregulated
P2RX3,1.015572404,Upregulated
PRG2,1.126448022,Upregulated
OR9Q1,1.081523327,Upregulated
MS4A3,1.033081085,Upregulated
MS4A12,1.305426772,Upregulated
MS4A10,1.009527439,Upregulated
SNORA57,1.041638388,Upregulated
SLC22A24,1.119765378,Upregulated
SLC22A9,1.247803417,Upregulated
SLC22A12,1.027542791,Upregulated
NPAS4,1.071951939,Upregulated
FLJ42102,1.026572108,Upregulated
GUCY2EP,1.552012236,Upregulated
B3GNT6,1.083940328,Upregulated
CNTN5,1.208748172,Upregulated
CARD17,1.098474631,Upregulated
LOC100132078,1.032169873,Upregulated
CRYAB,1.05921238,Upregulated
LOC387810,1.003068127,Upregulated
GLB1L3,1.28018635,Upregulated
THCAT155,1.021243433,Upregulated
MIR141,-1.168983458,Downregulated
SLC2A3,1.58924022,Upregulated
ZNF705A,1.107266121,Upregulated
CLEC6A,1.119932339,Upregulated
AICDA,1.425143668,Upregulated
CD69,1.589322939,Upregulated
APOLD1,1.455023895,Upregulated
LINC01559,1.17773683,Upregulated
SKP1P2,1.004821918,Upregulated
SLCO1B3,1.142737664,Upregulated
IAPP,1.337794345,Upregulated
LOC101928441,1.142167468,Upregulated
H3F3C,1.142601279,Upregulated
C12orf40,1.044797212,Upregulated
LOC101927058,1.283837423,Upregulated
NR4A1,3.534493683,Upregulated
KRT1,1.182956871,Upregulated
MIR148B,-1.001927075,Downregulated
TAC3,1.012997156,Upregulated
TMEM5-AS1,1.039642221,Upregulated
LOC101928002,1.024855286,Upregulated
PTPRR,1.116652669,Upregulated
TPH2,1.029077237,Upregulated
TRHDE,1.041153952,Upregulated
LOC100507377,1.244185007,Upregulated
LOC101928449,1.208744023,Upregulated
SLC6A15,1.052605172,Upregulated
MGAT4C,1.214493868,Upregulated
C12orf50,1.1517169,Upregulated
CLLU1OS,1.238475933,Upregulated
SLC17A8,1.147902437,Upregulated
NR1H4,1.136312658,Upregulated
LINC00485,1.025045315,Upregulated
RFX4,1.094226066,Upregulated
DAO,1.019875687,Upregulated
NOS1,1.289795211,Upregulated
LINC00934,1.27185925,Upregulated
TMEM132B,1.13805848,Upregulated
LOC100128554,1.102525319,Upregulated
FLJ37505,1.021800697,Upregulated
LINC00507,1.064709666,Upregulated
TMEM132D,1.128289073,Upregulated
PIWIL1,1.421675551,Upregulated
RIMBP2,1.012632271,Upregulated
GALNT9,1.340416758,Upregulated
LINC00442,1.167091725,Upregulated
TUBA3C,1.03690844,Upregulated
ANKRD20A19P,1.144295211,Upregulated
ATP12A,1.077209692,Upregulated
AMER2,1.080269299,Upregulated
LINC01053,1.022015578,Upregulated
USP12-AS2,1.021420135,Upregulated
CDX2,1.022655956,Upregulated
RXFP2,1.532789881,Upregulated
SERTM1,1.259501055,Upregulated
CSNK1A1L,1.069294303,Upregulated
LINC00330,1.019742191,Upregulated
LOC101929259,1.004365824,Upregulated
SIAH3,1.033162592,Upregulated
CTAGE10P,1.085504016,Upregulated
MIR15A,-1.414121477,Downregulated
LINC00371,1.113523989,Upregulated
LOC101926897,1.206734066,Upregulated
LINC00376,1.184072373,Upregulated
LINC00347,1.093257082,Upregulated
LINC01069,1.12152601,Upregulated
LINC00382,1.132335854,Upregulated
MIR4500HG,1.084920109,Upregulated
LINC00559,1.300197136,Upregulated
LINC00410,1.073379519,Upregulated
MIR17HG,-1.068754852,Downregulated
LOC101927284,1.538148743,Upregulated
SLC15A1,1.164608932,Upregulated
ZIC5,1.07205691,Upregulated
LINC00554,1.022214094,Upregulated
CCDC168,1.362006845,Upregulated
SLC10A2,1.60730525,Upregulated
SOX1,1.150437006,Upregulated
LOC101928730,1.107259734,Upregulated
