Reaction_ID,Confidence_Level
EX_5adtststerone_e,-1
EX_5fthf_e,-1
EX_5mthf_e,-1
2AMADPTm,0
2OXOADPTm,0
34DHPHEt,0
4HBZCOAFm,-1
4HBZFm,-1
4MOPt2im,-1
5ADTSTSTERONEGLCtr,-1
5ADTSTSTERONEte,-1
5FTHFt2_1,1
A4GALTc,1
AACTtm,-1
ABTArm,2
ABUTt2rL,2
ACACT10m,1
ACETONEt2,1
ACGAMK,2
ACGAMPM,2
ACGAMtly,-1
ACNML,-1
ACOAO7p,3
ACONTm,2
ADEt,1
ADK3,1
ADK3m,2
ADSL2r,1
AGTim,0
AHANDROSTANGLCte,2
AIRCr,3
AKGMALtm,1
ALASm,0
ALCD22_D,0
ALCD2y,2
ALR2,1
AMETt2m,1
AMPDA,0
ANDRSTRNGLCte,2
ANDRSTRNGLCtr,-1
ANDRSTRNtr,-1
ASNNm,0
ASNS1,1
ASPGLUm,1
ASPTAm,2
BILGLCURte,2
ATPasel_1,0
C160CPT1,0
C160CPT2,1
C161CPT12,0
C180CPT1,0
C226COAtx,-1
C226CPT1,0
C226CPT2,1
C3STDH1r,1
C4STMO1r,2
CATm,2
CATp,2
CDIPTr,2
CHLP,0
CHOLK,0
CITRtm,0
CITtam,1
CO2tm,-1
COAtim,2
COQ3m,0
COQ6m,1
COQ7m,1
CRNCAR3tp,-1
CRNt,2
CRNtuNa,2
CSAPASEly,-1
CSCPASEly,-1
CSEPASEly,-1
CSNAT2m,2
CSNAT2x,2
CSNAT3x,2
CSNATm,2
CSNATp,2
CSPG_Atly,-1
CSPG_Ctly,-1
CSPG_Dtly,-1
CYSO,0
CYStec,1
CYTDt,1
CYTK12,3
CYTK14,3
CYTK3,1
CYTK4,1
CPK1,3
CYTK7,3
DAG_HSter,-1
DAGK_hs,0
DATPtn,-1
DCTPtn,-1
DCYTt,1
DECDPtm,-1
DEDOLP2_L,-1
DGSNt,1
DHDPBMTm,0
DHFtm,-1
DIGALSIDEtl,-1
D_LACt2,0
