Reaction_ID,Confidence_Level
24_25DHVITD3tm,-1
25HVITD3t,-1
COAtl,-1
EX_5adtststerone_e,-1
EX_5adtststerones_e,-1
EX_5fthf_e,-1
EX_5htrp_e,-1
EX_5mthf_e,-1
EX_5thf_e,-1
EX_6dhf_e,-1
24_25VITD3Hm,1
24NPHte,-1
10FTHF7GLUtl,-1
10FTHFtm,-1
11DOCRTSLtr,-1
13DAMPPOX,0
24_25DHVITD2t,-1
24_25DHVITD2tm,-1
24_25DHVITD3t,-1
25VITD2Hm,0
2AMACHYD,0
2AMADPTm,0
2MCITt,-1
2OXOADOXm,2
2OXOADPTm,0
34DHXMANDACOX,1
34HPLFM,-1
3AIBtm,0
3HAO,0
3MOBt2im,-1
3MOPt2im,-1
3MOXTYROX,1
3SALAOX,-1
42A12BOOX,0
4HBZCOAFm,-1
4HBZFm,-1
4HDEBRISOQUINEte,-1
4HOXPACDOX_NADP,1
4MOPt2im,-1
4MPTNLte,-1
4NPHSULT,0
4PYRDX,-1
5ADTSTSTERONEGLCtr,-1
5ADTSTSTERONEte,-1
5FTHFt2_1,1
5HOXINOXDA,1
5THFtl,-1
5THFtm,-1
7DHCHSTEROLtr,-1
7DHFtm,-1
A4GALTc,1
A4GALTg,1
A4GNT2g,0
AACTtm,-1
ABO1g,0
ABO4g,0
ABO5g,0
ABO6g,0
ABO7g,0
ABO9g,0
ABTArm,0
ABTt,-1
ABUTt2rL,0
ACACT10m,2
ACACT5p,2
ACACT8p,2
ACACT9p,2
ACALDtr,-1
ACALDtx,-1
ACCOALm,0
ACCOAtr,1
ACETONEt2,0
ACGAGBSIDEtl,-1
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-1
ACGALtlg,-1
ACGAMK,1
ACGAMPM,1
ACGAMtly,-1
ACGBGBSIDEtl,-1
ACHtn,-1
ACN13ACNGALGBSIDEtg,-1
ACNACNGAL14ACGLCGALGLUSIDEtg,-1
ACNACNGALGBSIDEtg,-1
ACNAMlt,1
ACNAMtn,-1
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,-1
ACNML,-1
ACOAD10m,1
