,ids,growth,status
0,{'DNDPt20m'},286.2899973710387,optimal
1,{'KAT180_m'},286.2899973710399,optimal
2,{'AKGCITtm'},286.2899973710399,optimal
3,{'UAGDP'},286.2899973710399,optimal
4,{'HCO3Em'},286.2899973710399,optimal
5,{'ACACt2'},286.2899973710399,optimal
6,{'HMR_2819'},286.2899973710399,optimal
7,{'HMR_2713'},286.2899973710399,optimal
8,{'LEUTYRTYRr'},286.2899973710399,optimal
9,{'EX_chsterol_e'},286.2899973710399,optimal
10,{'EX_val__L_e'},286.2899973710398,optimal
11,{'DAGK_hs'},286.2899973710398,optimal
12,{'HMR_6907'},286.2899973710398,optimal
13,{'CYTK9'},286.2899973710398,optimal
14,{'SK_pydx_c'},286.2899973710398,optimal
15,{'S2TASE4ly'},286.2899973710398,optimal
16,{'DHCR242r'},286.2899973710398,optimal
17,{'EX_5fthf_e'},286.2899973710398,optimal
18,{'SQLte'},286.2899973710398,optimal
19,{'CSCPASEly'},286.2899973710398,optimal
20,{'LEULEUPEPT1tc'},286.2899973710398,optimal
21,{'r0249'},286.2899973710398,optimal
22,{'CE2006te'},286.2899973710398,optimal
23,{'NDPK9n'},286.2899973710398,optimal
24,{'ARGTYRVALt'},286.2899973710398,optimal
25,{'FACOAL170'},286.2899973710398,optimal
26,{'EX_serglyglu_e'},286.2899973710398,optimal
27,{'DHFR'},286.2899973710399,optimal
28,{'S2TASE1ly'},286.2899973710399,optimal
29,{'HIVCACBP'},286.2899973710399,optimal
30,{'SUCCtp'},286.2899973710399,optimal
31,{'FAOXC103C102m'},286.2899973710399,optimal
32,{'PIt9'},237.21171210743296,optimal
33,{'EX_hexdiac_e'},286.2899973710398,optimal
34,{'UPPRT'},286.2899973710399,optimal
35,{'ASPMETASPr'},286.2899973710399,optimal
36,{'HMR_5387'},286.2899973710399,optimal
37,{'SK_cholate_c'},286.2899973710399,optimal
38,{'DM_Lcystin_c'},286.2899973710399,optimal
39,{'PGCD'},286.2899973710399,optimal
40,{'HEXDIACtr'},286.2899973710399,optimal
41,{'TRPASPASPr'},286.2899973710399,optimal
42,{'ABTArm'},286.2899973710399,optimal
43,{'CSPG_Etly'},286.2899973710399,optimal
44,{'ESTRIOLGLCte'},286.2899973710399,optimal
45,{'EX_cspg_a_e'},286.2899973710399,optimal
46,{'DCA3GSc'},286.2899973710399,optimal
47,{'TRPASPASPt'},286.2899973710399,optimal
48,{'ACSm'},286.2899973710399,optimal
49,{'UMPK6'},286.2899973710399,optimal
50,{'Htr'},285.9696252311244,optimal
51,{'HMR_3915'},286.2899973710399,optimal
52,{'MLTHFte2'},286.2899973710398,optimal
53,{'GLYOX'},286.2899973710398,optimal
54,{'r2375'},286.2899973710398,optimal
55,{'ACRNtp'},286.2899973710398,optimal
56,{'MDHm'},286.2899973710398,optimal
57,{'SK_thr__L_c'},286.28999737103976,optimal
58,{'LYSARGLEUr'},286.2899973710398,optimal
59,{'RE1522X'},286.28999737103976,optimal
60,{'COQ3m'},286.28999737103976,optimal
61,{'GLNtm'},286.28999737103976,optimal
62,{'3HLYTCL'},286.28999737103976,optimal
63,{'EX_dcyt_e'},286.28999737103976,optimal
64,{'EX_forglu_e'},286.28999737103976,optimal
65,{'C03990t'},286.2899973710398,optimal
66,{'GLYK'},286.2899973710398,optimal
67,{'ODECRNte'},286.2899973710398,optimal
68,{'NDPK6m'},286.2899973710398,optimal
69,{'THRTHRARGt'},286.2899973710398,optimal
70,{'r0173'},286.2899973710398,optimal
71,{'GLBRAN'},286.2899973710398,optimal
72,{'C4STMO1r'},286.2899973710398,optimal
73,{'GLNyLATthc'},286.2899973710398,optimal
74,{'CYStec'},286.2899973710398,optimal
75,{'FAOXC81C61m'},286.2899973710398,optimal
76,{'EX_c51crn_e'},286.2899973710398,optimal
77,{'EX_3pg_e'},286.2899973710398,optimal
78,{'PROD2m'},286.2899973710398,optimal
79,{'GLYCt'},286.2899973710398,optimal
80,{'DTMPK'},286.2899973710398,optimal
81,{'EX_trp__L_e'},286.2899973710398,optimal
