,fluxes,reduced_costs
10FTHF7GLUtl,0.0,0.0
10FTHF7GLUtm,0.0,0.0
10FTHFtl,0.0,-0.0
10FTHFtm,4.952152904031791,0.0
13DAMPPOX,0.0,0.0
1PPDCRp,3.909423369370321e-14,0.0
25HVITD3t,0.0,0.0
25HVITD3tin,0.0,0.0
2AMADPTm,0.0,0.0
2DR1PP,0.0,0.0
2HBt2,0.0,-0.0
2HCO3_NAt,0.0,0.0
2OXOADOXm,61.00393287273689,0.0
2OXOADPTm,4.020764338499154e-14,0.0
34DHPHEt,0.0,0.0
34DHPLACOX,0.0,0.0
34DHPLACOX_NADP_,0.0,0.0
34DHXMANDACOX,0.0,0.0
34DHXMANDACOX_NADP_,0.0,-0.0
34HPPOR,0.0,0.0
35CGMPtn,0.0,0.0
3DSPHR,0.0017660859998002581,0.0
3HAO,0.0,0.0
3HBCOAHLm,0.0,0.0
3HKYNAKGAT,0.0,0.0
3MOBt2im,2.424450201019117,0.0
3MOPt2im,0.0,0.0
3MOX4HOXPGALDOX,0.0,0.0
3MOX4HOXPGALDOX_NADP_,0.0,-0.0
3SALAASPm,0.0,-0.0
3SALATAi,34.33747097029194,0.0
3SALATAim,0.0,0.0
3SPYRSP,34.33747097029194,0.0
3SPYRSPm,0.0,0.0
4ABUTtm,0.0,-0.0
4HGLSDm,0.0,0.0
4MOPt2im,0.0,0.0
5ADTSTSTERONESULT,0.0,0.0
5HOXINDACTO2OX,0.0,0.0
5MTHFt,0.0,0.0
5MTHFt2,-0.03519092952437222,-0.0
7DHFtl,0.0,0.0
7DHFtm,0.0,0.0
7THFtl,0.0,0.0
7THFtm,0.0,0.0
A_MANASEly,0.0,0.0
AACOAT,0.0,0.0
AACTOOR,4.889773297141427,0.0
AACTtm,4.889773297141427,0.0
AATAi,3.659887438117326e-14,0.0
ABTArm,0.0,-0.0
ABUTD,0.0,0.0
ABUTt2r,0.0,0.0
ABUTt4_2_r,0.0,-0.0
