,fluxes,reduced_costs
10FTHF7GLUtl,0.0,0.0
10FTHF7GLUtm,0.0,1.5777218104420236e-30
10FTHFtl,0.0,-0.0
10FTHFtm,33.23286900723604,0.0
13DAMPPOX,22.497943103391904,-9.244463733058732e-33
1PPDCRp,33.19949744121961,9.860761315262648e-32
25HVITD3t,0.0,0.0
25HVITD3tin,0.0,0.0
2AMADPTm,33.19949744121961,1.9721522630525295e-31
2DR1PP,0.0,-5.546678239835239e-32
2HBt2,0.0,-0.0
2HCO3_NAt,0.0,-3.370198701212626e-17
2OXOADOXm,61.00393287273687,2.465190328815662e-32
2OXOADPTm,0.0,4.850920540219305e-16
34DHPHEt,0.0,0.0
34DHPLACOX,0.0,1.3446226775376912e-31
34DHPLACOX_NADP_,0.0,-1.9804293297082764e-33
34DHXMANDACOX,0.0,1.3446226775376912e-31
34DHXMANDACOX_NADP_,0.0,-1.9804293297082764e-33
34HPPOR,0.0,-1.6528475351523674e-15
35CGMPtn,0.0,0.0
3DSPHR,0.001766085999799786,-1.3250398017384183e-31
3HAO,0.0,5.546678239835239e-32
3HBCOAHLm,0.0,7.395570986446986e-32
3HKYNAKGAT,0.0,5.67320446015166e-31
3MOBt2im,0.0,9.244463733058732e-33
3MOPt2im,0.0,5.389610935031599e-16
3MOX4HOXPGALDOX,0.0,1.3446226775376912e-31
3MOX4HOXPGALDOX_NADP_,0.0,-1.9804293297082764e-33
3SALAASPm,0.0,-0.0
3SALATAi,34.33747097029194,0.0
3SALATAim,0.0,-3.2334958623280904e-16
3SPYRSP,34.337470970291946,-4.0059342843254506e-32
3SPYRSPm,0.0,2.465190328815662e-32
4ABUTtm,22.497943103391904,0.0
4HGLSDm,0.0,5.386903948122998e-17
4MOPt2im,0.0,-3.0814879110195774e-33
5ADTSTSTERONESULT,0.0,-4.1013763368152023e-14
5HOXINDACTO2OX,0.0,5.93528112864809e-32
5MTHFt,0.0,-3.370198701212632e-17
5MTHFt2,-0.10957860727673926,-0.0
7DHFtl,0.0,0.0
7DHFtm,0.0,6.38868246051442e-16
7THFtl,0.0,7.888609052210118e-31
7THFtm,0.0,1.0162222211109141e-15
A_MANASEly,0.0,-1.232595164407831e-31
AACOAT,0.0,1.0473767400858333e-15
AACTOOR,84.18324040989512,0.0
AACTtm,84.18324040989512,0.0
AATAi,0.0,8.712886073098514e-32
ABTArm,22.497943103391904,1.1305406333978938e-31
ABUTD,22.497943103391904,-4.930380657631324e-32
ABUTt2r,0.0,-3.370198701212618e-17
ABUTt4_2_r,0.0,9.020707365985771e-32
ACACT10m,0.0,4.7302541698730807e-32
ACACT1r,0.0,-3.933870200797086e-32
ACACT1rm,0.0,-1.5055681117035065e-15
ACACT1x,0.0,-5.776758402013985e-16
ACACt2,0.0,4.30740234234188e-32
ACACt2m,0.0,-3.110901691691358e-32
ACACT4p,0.0,-1.9721522630525295e-31
ACACT5p,0.0,-1.9721522630525295e-31
ACACT6p,0.0,0.0
ACACT7p,0.0,0.0
ACACtx,0.0,-0.0
ACALDtm,0.0,0.0
ACCOAC,36.93117265903548,-1.509929076399593e-31
ACCOACm,0.0,-4.543097457469412e-16
ACCOAL,0.0,-4.697008998844352e-16
ACCOALm,0.0,-1.3398425060345824e-15
ACCOAtr,0.0,0.0
ACETONEt2m,-60.991569866738296,-1.471874058287908e-32
ACGAM2E,0.0,0.0
ACGAM6PSi,0.0,-3.389636702121535e-32
ACGAMK,0.0,-1.3250398017384183e-31
ACGAMPM,0.0,0.0
ACGAMtly,0.0,0.0
ACHEe,0.0,-3.3701987012126974e-17
ACITL,42.20705446746913,-3.0814879110195774e-32
ACNAM9PL,0.0,-9.394017997688708e-16
ACNAMlt,0.0,-1.761902959259239e-32
ACNAMPH,0.0,1.232595164407831e-32
ACNAMtn,0.0,-4.930380657631324e-32
ACNMLr,0.0,3.9286716747330334e-32
ACOAD10m,0.0,0.0
ACOAD1fm,0.0,-1.5055681117035073e-15
ACOAD8m,0.0,6.162975822039155e-33
ACOAD9m,2.424450201019127,-4.3140830754274083e-32
ACOAO7p,0.0,-1.8788035995377447e-15
ACONT,0.0,-2.156115072703494e-16
ACONTm,0.0,3.339729222932461e-31
ACOX22x,0.0,-9.244463733058732e-32
ACP1_FMN_,0.0,0.0
ACRNtm,0.0,1.2128993217366146e-16
ACS,0.0,1.232595164407831e-31
ACS2,0.0,1.6833750440703811e-31
ACSm,0.0,1.232595164407831e-31
ACTLMO,0.0,6.719128219571929e-16
ACTNMO,60.991569866738296,-1.355854680848614e-31
ACYP,0.0,-4.697008998844353e-16
ADA,0.0,3.370198701212633e-17
ADAe,0.0,0.0
ADCim,60.99156986673829,3.0814879110195774e-32
ADK1,110.19765514009339,3.7306193458428615e-32
ADK1m,0.0,6.884045451011527e-32
ADK3,0.0,-4.697008998844354e-16
ADK3m,0.0,-1.998508874852058e-31
ADKd,0.0,0.0
ADMDC,22.497943103391904,2.465190328815662e-32
ADNCYC,0.0,1.232595164407831e-31
ADNK1,0.0,-1.1939745829023505e-17
ADNt,0.0,-0.0
ADNtm,0.0,0.0
ADPRDP,0.0,3.154215108200128e-31
ADPT,0.0,-1.1939745829023163e-17
ADRNCOAtx,0.0,-9.618821745130394e-33
ADRNt,0.0,0.0
ADSK,0.0,-8.474091755303838e-31
ADSL1,22.61891657154966,9.860761315262648e-32
ADSL2,0.007951615896918155,9.860761315262648e-32
ADSS,22.618916571549658,-4.190823558986625e-31
AG13T10g,0.0,-7.888609052210118e-31
AG13T11g,0.0,-1.5777218104420236e-30
AG13T12g,0.0,-1.5777218104420236e-30
AG13T13g,0.0,-1.5777218104420236e-30
AG13T14g,0.0,-1.5777218104420236e-30
AG13T15g,0.0,-1.5777218104420236e-30
AG13T16g,0.0,0.0
AG13T17g,0.0,-1.5777218104420236e-30
AG13T18g,0.0,-1.5777218104420236e-30
AG13T1g,0.0,0.0
AG13T2g,0.0,-1.5777218104420236e-30
AG13T3g,0.0,-1.5777218104420236e-30
AG13T4g,0.0,-1.5777218104420236e-30
AG13T5g,0.0,1.5777218104420236e-30
AG13T6g,0.0,1.5777218104420236e-30
AG13T7g,0.0,-1.5777218104420236e-30
AG13T8g,0.0,-1.5777218104420236e-30
AG13T9g,0.0,-1.5777218104420236e-30
AGDC,0.0,-2.8644627962878063e-32
AGMTm,0.0,-2.6948054675158004e-16
AGPAT1,0.0,-1.8535271092786507e-15
AGTix,0.0,0.0
AHC,0.11422555715825271,-1.2698466683240422e-16
AHCYStr,-0.11422555715825271,7.755972770742488e-16
AHEXASE2ly,0.0,3.697785493223493e-32
AHEXASEly,0.0,5.3811148632627235e-15
AICART,0.007951615896918155,5.864544983544872e-32
AIRCr,0.007951615896918156,-2.3247483833933972e-32
AKGDm,0.0,2.3824844359829546e-15
AKGMALtm,0.0,-3.457799868093201e-31
AKGt4_3,0.0,6.740397402425263e-17
ALAASNNaEx,0.0,2.733950431776297e-15
ALACYSNaEx,0.0,6.740397402425254e-17
ALADGLNexR,0.0,-6.455285081963501e-31
ALADGLYexR,0.0,-1.042608196915774e-31
ALAGLNexR,0.0,1.0758808469939166e-31
ALAGLNNaEx,0.0,3.3701987012125754e-17
ALAGLYexR,0.0,1.04676840522794e-31
ALAR,99.59849232365883,0.0
ALASERNaEx,0.0,3.370198701212616e-17
ALASm,0.0,0.0
ALAt2r,-13.965764790452328,1.6355756331686564e-32
ALAt4,0.0,3.840141332290519e-33
ALATA_L,-113.64556312410194,2.09353681045588e-31
ALATHRNaEx,0.0,5.085263610298444e-32
ALAtN1,0.0,1.9626907598023878e-32
ALCD1,0.0,1.9622610670668564e-31
ALCD21_D,0.0,-5.854827030937197e-32
ALCD21_L,60.991569866738296,-5.854827030937197e-32
ALCD22_D,0.0,4.6933980533780014e-32
ALCD22_L,0.0,6.719128219571931e-16
