,minimum,maximum
10FTHF7GLUtl,0.0,1666.6666666666665
10FTHF7GLUtm,0.0,1666.666666666684
10FTHFtl,-1666.6666666666674,0.0
10FTHFtm,-10000.0,2474.417676921934
13DAMPPOX,7.750113108318772e-36,492.165977008534
1PPDCRp,0.0,117.56706197829728
25HVITD3t,0.0,10000.0
25HVITD3tin,0.0,10000.0
2AMADPTm,0.0,10000.0
2DR1PP,0.0,10000.0
2HBt2,-10000.0,10000.0
2HCO3_NAt,-10000.0,10000.0
2OXOADOXm,0.0,117.6745710164927
2OXOADPTm,-9938.996067127382,117.67457101646716
34DHPHEt,-10000.0,0.0
34DHPLACOX,0.0,10000.0
34DHPLACOX_NADP_,-10000.0,-8.778891261333627e-13
34DHXMANDACOX,0.0,10000.0
34DHXMANDACOX_NADP_,-10000.0,0.0
34HPPOR,0.0,3.2085619378434114
35CGMPtn,0.0,9999.999999999998
3DSPHR,0.0008830429999915913,0.0017660859998002588
3HAO,1.4877141569243902e-17,0.10750903819540944
3HBCOAHLm,0.0,4.790966235575782
3HKYNAKGAT,0.0,10000.0
3MOBt2im,0.0,10000.0
3MOPt2im,0.0,10000.0
3MOX4HOXPGALDOX,0.0,10000.0
3MOX4HOXPGALDOX_NADP_,-10000.000000000004,1.6953536138171028e-11
3SALAASPm,-59.60566938573881,8.269301738015084e-15
3SALATAi,0.0,59.60566938573655
3SALATAim,0.0,59.60566938573668
3SPYRSP,0.0,59.605669385736554
3SPYRSPm,-2.4424591958343905e-13,59.60566938573668
4ABUTtm,0.0,1137.3932937900067
4HGLSDm,0.0,10000.0
4MOPt2im,0.0,9978.945878421539
5ADTSTSTERONESULT,0.0,5186.474559947379
5HOXINDACTO2OX,0.0,10000.0
5MTHFt,-10000.0,9999.96480907048
5MTHFt2,-10000.0,9999.964809070483
7DHFtl,0.0,1666.666666666667
7DHFtm,0.0,1666.6666666666679
7THFtl,0.0,1666.666666666667
7THFtm,0.0,1666.666666666665
A_MANASEly,0.0,357.6879108365312
AACOAT,0.0,10000.0
AACTOOR,1.7982948293087375e-12,2869.1467405352555
AACTtm,0.0,2869.146740535316
AATAi,-9938.996067127264,117.56706197829806
ABTArm,1.232356326362067e-13,1137.393293789968
ABUTD,0.0,1137.3932937899558
ABUTt2r,-10000.0,10000.0
ABUTt4_2_r,-9999.999999999998,10000.0
ACACT10m,0.0,0.09003374787216628
ACACT1r,-10000.0,1484.225198165847
ACACT1rm,0.0,7394.207636568216
ACACT1x,0.0,6790.9839230303505
ACACt2,-10000.0,10000.0
ACACt2m,-10000.000000000098,1559.8366692573659
ACACT4p,0.0,2304.8347443982934
ACACT5p,0.0,2304.834744398287
ACACT6p,0.0,2304.8347443982907
ACACT7p,0.0,2304.8347443982925
ACACtx,-6790.983923030337,0.0
ACALDtm,-2628.822456561802,0.0
ACCOAC,0.006181300999974175,9781.075184741652
ACCOACm,0.0,9779.630995436983
ACCOAL,0.0,10000.0
ACCOALm,0.0,5252.516094888911
ACCOAtr,-9999.999999999995,10000.000000000002
ACETONEt2m,-1763.5307734174644,0.0
ACGAM2E,-10000.000000000004,0.0
ACGAM6PSi,0.0,10000.0
ACGAMK,-1.457601785869039e-13,10000.000000000002
ACGAMPM,0.0,10000.0
ACGAMtly,0.0,2300.8067692706663
ACHEe,0.0,10000.0
ACITL,0.0,10000.0
ACNAM9PL,0.0,5186.474559947364
ACNAMlt,-576.2749674588435,0.0
ACNAMPH,0.0,5186.474559947361
ACNAMtn,0.0,10000.0
ACNMLr,-1.3624019205382104e-13,5186.47455994735
ACOAD10m,0.0,10000.0
ACOAD1fm,0.0,2593.2372799736813
ACOAD8m,0.0,10000.0
ACOAD9m,0.0,4.7909662355753495
ACOAO7p,0.0,2304.8347443982925
ACONT,-10000.0,10000.0
ACONTm,-10000.0,10000.0
ACOX22x,0.0,0.0017660859997434214
ACP1_FMN_,0.0,10000.0
ACRNtm,0.0,10000.0
ACS,0.0,10000.0
ACS2,0.0,10000.0
ACSm,0.0,2628.8224565618925
ACTLMO,0.0,6980.144833817239
ACTNMO,3.6124203494238136e-12,1763.5307734173277
ACYP,0.0,9999.95037960901
ADA,0.0,3765.6662210322247
ADAe,0.0,3765.6662210322243
ADCim,0.0,1763.5307734173473
ADK1,-10000.0,10000.0
ADK1m,-10000.0,10000.0
ADK3,-10000.0,10000.0
ADK3m,-10000.0,10000.0
ADKd,-10000.0,10000.0
ADMDC,0.0,492.165977008554
ADNCYC,0.0,10000.0
ADNK1,0.0,10000.0
ADNt,-3765.666221032207,3457.649706631561
ADNtm,-5252.516094888921,0.0
ADPRDP,0.0,5186.474559947421
ADPT,0.0,10000.0
ADRNCOAtx,0.0,4296.512346300883
ADRNt,-10000.0,10000.0
