,minimum,maximum
24_25DHVITD3tm,0.0,0.0
25HVITD3t,0.0,1000.0
COAtl,0.0,0.0
EX_5adtststerone_e,0.0,0.0
EX_5adtststerones_e,0.0,0.0
EX_5fthf_e,0.0,0.0
EX_5htrp_e,0.0,0.0
EX_5mthf_e,0.0,0.0
EX_5thf_e,0.0,0.0
EX_6dhf_e,0.0,0.0
24NPHte,0.0,0.0
10FTHF7GLUtl,0.0,0.0
10FTHFtm,0.0,0.0
11DOCRTSLtr,0.0,0.0
24_25DHVITD2t,0.0,0.0
24_25DHVITD2tm,0.0,0.0
24_25DHVITD3t,0.0,1000.0
2MCITt,0.0,1000.0000000000001
34HPLFM,0.0,0.0
3MOBt2im,0.0,0.0
3MOPt2im,0.0,0.0
3SALAOX,0.0,0.0
4HBZCOAFm,0.0,0.0
4HBZFm,0.0,0.0
4HDEBRISOQUINEte,0.0,0.0
4MOPt2im,0.0,0.0
4MPTNLte,0.0,0.0
4PYRDX,0.0,0.0
5ADTSTSTERONEGLCtr,0.0,0.0
5ADTSTSTERONEte,0.0,0.0
5THFtl,0.0,0.0
5THFtm,0.0,0.0
7DHCHSTEROLtr,0.0,0.0
7DHFtm,0.0,0.0
AACTtm,0.0,0.0
ABTt,-1000.0,0.0
ACALDtr,0.0,0.0
ACALDtx,0.0,0.0
ACGAGBSIDEtl,0.0,0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,0.0,0.0
ACGALtlg,0.0,0.0
ACGAMtly,0.0,1000.0
ACGBGBSIDEtl,0.0,0.0
ACHtn,0.0,0.0
ACN13ACNGALGBSIDEtg,0.0,0.0
ACNACNGAL14ACGLCGALGLUSIDEtg,0.0,0.0
ACNACNGALGBSIDEtg,0.0,0.0
ACNAMtn,0.0,0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,0.0,0.0
ACNML,0.0,0.0
ACt2r,-1000.0,1000.0
ADRNCOAtx,0.0,0.0
ALCD21_D,0.0,1000.0000000000006
ALCD22_D,0.0,1000.0
ALDSTRNte,0.0,0.0
ALDSTRNtm,0.0,0.0
AMETr,-1000.0,0.0
ANDRSTRNGLCtr,0.0,0.0
ANDRSTRNtr,0.0,0.0
ANTIPYRENEte,0.0,0.0
APOCFm,0.0,0.0
APOC_LYS_BTNP,0.0,0.0
ARAB_Lt,0.0,0.0
ARACHDCOAtx,0.0,0.0
ARACHt,0.0,0.0
ARTCOAL3_cho,0.0,0.0
R_group_phosphotase_2,0.0,0.0
R_group_phosphotase_3,0.0,0.0
ASCBOX_1,0.0,500.0000000000002
ASCBt,-999.9999999999999,1000.0
ASNt4,0.0,1000.0
ASPDxt,0.0,0.0
ASPNATm,0.0,0.0
ATP1ter,0.0,999.9999999999999
EX_6htststerone_e,0.0,0.0
ATPtn,0.0,0.0
ATPtx,-1000.0,1000.0
AVITE2t,0.0,1000.0
B3GALTg,0.0,0.0
BETALDHxm,0.0,0.0
BHBtm,0.0,0.0
BVITEt,0.0,1000.0
BZtr,0.0,0.0
C226COAtx,0.0,0.0
C226CRNt,-1000.0000000000003,1000.0000000000003
CAROtr,0.0,0.0
CBPPer,0.0,333.33333333333337
CDPDAGtm,0.0,0.0
CHOLPtl,0.0,0.0
CHOLtn,0.0,0.0
CHOLtr,0.0,0.0
CHSTEROLt3,-1000.0,1000.0
CLPNDCOAtx,0.0,0.0
CLPNDt,0.0,0.0
CMPACNAtn,0.0,0.0
CO2tg,0.0,0.0
CO2tm,0.0,0.0
CORE3GTg,0.0,0.0
CORE7GTg,0.0,0.0
CREATtmdiffir,0.0,0.0
CRMPte,0.0,0.0
CRNCAR3tp,0.0,0.0
CRTNsyn_cho,0.0,1000.0000000000001
CRTSLt,0.0,0.0
CRTSLtm,0.0,0.0
CRTSLtr,0.0,0.0
CRVNCtr,-1000.0,1000.0
CSAPASEly,0.0,0.0
CSCPASEly,0.0,0.0
CSEPASEly,0.0,0.0
CSPG_Atly,0.0,0.0
CSPG_Ct,0.0,0.0
CSPG_Ctly,0.0,0.0
CSPG_Dt,0.0,0.0
CSPG_Dtly,0.0,0.0
CTPtn,0.0,0.0
CYANt,0.0,0.0
CYANtm,0.0,0.0
CYTD,0.0,0.0
CYTDn,0.0,0.0
DADNK,0.0,0.0
DAG_HSter,0.0,0.0
DARGOp,0.0,0.0
DASCBH,0.0,1.460923250383732e-13
DATPtn,0.0,0.0
DCK1m,0.0,0.0
DCSPTN1t,0.0,0.0
DCTPtn,0.0,0.0
DCYTD,0.0,0.0
DCYTDn,0.0,0.0
DECDPtm,0.0,1.3928027279150459e-14
DEDOLP2_L,0.0,0.0
DESAT22_2p,0.0,0.0
DGCHOLte,-1000.0,1000.0
DGSNtm,0.0,0.0
DHEASt,0.0,0.0
DHEAtr,0.0,0.0
DHFtl,0.0,0.0
DHFtm,0.0,0.0
DIGALSGALSIDEtg,0.0,0.0
DIGALSIDEtl,0.0,0.0
DITPtn,0.0,0.0
DM_Asn_X_Ser_Thr_l,0.0,0.0
DM_core5_g,0.0,1000.0
DM_dem2emgacpail_prot_hs_r,0.0,0.0
DM_dgpi_prot_hs_r,0.0,0.0
DM_dsT_antigen_g,0.0,0.0
DM_kdn_c,0.0,999.9999999999999
DM_melanin_c,0.0,0.0
DM_n5m2masn_g,0.0,1000.0
DM_oretn_n,0.0,1000.0
DM_Ser_Thr_l,0.0,0.0
DM_Ser_Gly_Ala_X_Gly_l,0.0,1000.0
DM_sprm_c,0.0,1000.0
DMANTIPYRINEte,0.0,0.0
DMGtm,0.0,0.0
DMHPTCRNCPT2,0.0,0.0
DMHPTCRNte,2.3723198330916433e-13,0.0
C110CPT2m,0.0,0.0
DMNONCRNt,-1000.0,1000.0
DNADtn,0.0,0.0
DOLGPP_Ler,0.0,0.0
DOLICHOL_Lter,0.0,0.0
DOLICHOL_Uter,0.0,-1.7415005539620152e-31
DOLK_U,0.0,0.0
DOLP_Lter,0.0,0.0
DOLP_Uter,0.0,0.0
DOPAt4_2_r,-1000.0,999.9999999999998
DPCOAtl,0.0,0.0
DSAT,0.0,0.0
DTDPtn,0.0,0.0
DUDPtn,0.0,-1.1848061296528258e-29
