reaction,minimum,maximum,status
24_25DHVITD3tm,0.0,0.0999999999999999,Inactive
25HVITD3t,0.0,0.1,Inactive
COAtl,0.0,0.0999999999999998,Inactive
EX_5adtststerone_e,-0.1,0.1,Active
EX_5adtststerones_e,-0.3000000000000001,0.0999999999999999,Active
EX_5fthf_e,-0.1,0.0,Inactive
EX_5htrp_e,0.0,0.1,Inactive
EX_5mthf_e,-0.3,0.1,Active
EX_5thf_e,-0.1,0.1,Active
EX_6dhf_e,-0.1,0.1,Active
24_25VITD3Hm,0.0,0.1000000000000001,Inactive
24NPHte,-0.1,0.0,Inactive
10FTHF7GLUtl,0.0,0.0166666666666666,Inactive
10FTHFtm,-0.2,0.1,Active
11DOCRTSLtr,-0.1,2.5684633834329292e-17,Active
13DAMPPOX,0.0,0.1,Inactive
24_25DHVITD2t,0.0,0.1,Inactive
24_25DHVITD2tm,0.0,0.0999999999999999,Inactive
24_25DHVITD3t,0.0,0.0999999999999999,Inactive
25VITD2Hm,0.0,0.0999999999999999,Inactive
2AMACHYD,0.0,0.1,Inactive
2AMACSULT,0.0,0.1,Inactive
2AMADPTm,0.0,0.1,Inactive
2MCITt,0.0,0.1,Inactive
2OXOADOXm,0.0,0.1,Inactive
2OXOADPTm,-0.0999999999999999,0.1,Active
34DHPHEt,-0.1999999999999998,0.1,Active
34DHXMANDACOX,0.0,0.1,Inactive
34HPLFM,0.0,0.1,Inactive
3AIBtm,0.0,0.1,Inactive
3HAO,0.0,0.1,Inactive
3MOBt2im,0.0,0.1,Inactive
3MOPt2im,0.0,0.1,Inactive
3MOXTYROX,0.0,0.0999999999999999,Inactive
3SALAOX,0.0,0.05,Inactive
42A12BOOX,0.0,0.1,Inactive
4HBZCOAFm,0.0,0.1,Inactive
4HBZFm,0.0,0.1,Inactive
4HDEBRISOQUINEte,-0.1,0.0,Inactive
4HOXPACDOX_NADP,-0.1,0.0999999999999996,Active
4MOPt2im,0.0,0.1,Inactive
4MPTNLte,-2.487002684315082e-17,0.1,Active
4NPHSULT,0.0,0.1,Inactive
4PYRDX,0.0,0.0999999999999999,Inactive
5ADTSTSTERONEGLCtr,-0.0999999999999998,0.0,Inactive
5ADTSTSTERONESULT,0.0,0.1,Inactive
5ADTSTSTERONEte,-0.1,0.1,Active
5FTHFt2_1,0.0,0.1,Inactive
5HOXINOXDA,0.0,0.1,Inactive
5THFtl,0.0,0.025,Inactive
5THFtm,0.0,0.1,Inactive
7DHCHSTEROLtr,-0.1,0.1,Active
7DHFtm,0.0,0.0166666666666666,Inactive
A4GALTc,0.0,0.1,Inactive
A4GALTg,0.0,0.0499999999999999,Inactive
A4GNT2g,0.0,0.025,Inactive
AACTtm,0.0,0.1,Inactive
ABO1g,0.0,0.0333333333333333,Inactive
ABO4g,0.0,0.0199999999999999,Inactive
ABO5g,0.0,0.02,Inactive
ABO6g,0.0,0.0142857142857142,Inactive
ABO7g,0.0,0.0142857142857142,Inactive
ABO9g,0.0,0.0125,Inactive
ABTArm,-0.5000000000000001,0.0999999999999999,Active
ABTt,-0.1,0.1,Active
ABUTt2rL,-0.0999999999999999,0.1,Active
ACACT10m,-0.3,0.1,Active
ACACT5p,0.0,0.0833333333333333,Inactive
ACACT8p,0.0,0.1,Inactive
ACACT9p,0.0,0.1000000000000001,Inactive
ACALDtr,0.0,0.1,Inactive
ACALDtx,0.0,0.0999999999999999,Inactive
ACCOALm,0.0,0.1,Inactive
ACCOAtr,-0.6000000000000011,0.1,Active
ACETONEt2,-0.1,0.1,Active
ACGAGBSIDEtl,0.0,0.0333333333333333,Inactive
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,-0.0142857142857142,0.0,Inactive
ACGALtlg,-0.0499999999999979,0.0,Inactive
ACGAMK,0.0,0.1,Inactive
ACGAMPM,1.2706713798893802e-16,0.1000000000000001,Inactive
ACGAMtly,0.0,0.1,Inactive
ACGBGBSIDEtl,1.8124237688940578e-17,0.0499999999999999,Inactive
ACHtn,-0.1,0.1,Active
ACHVESSEC_1,0.0,0.1,Inactive
ACN13ACNGALGBSIDEtg,-0.0333333333333334,0.0,Inactive
ACNACNGAL14ACGLCGALGLUSIDEtg,0.0,0.0499999999999994,Inactive
ACNACNGALGBSIDEtg,-0.0333333333333333,0.0,Inactive
ACNAMlt,-0.12,0.0,Inactive
ACNAMtn,0.0,0.0999999999999994,Inactive
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,-0.1,0.0,Inactive
ACNML,-0.2,0.1,Active
ACOAD10m,0.0,0.1,Inactive
ACOAD8m,0.0,0.1,Inactive
ACOAD9m,0.0,0.1,Inactive
ACOAO7p,0.0,0.1,Inactive
ACODA,0.0,0.1,Inactive
ACONTm,-0.6,0.1,Active
ACP1_FMN,0.0,0.1,Inactive
ACS2,0.0,0.1,Inactive
ACSRTNMT,0.0,0.0999999999999999,Inactive
ACt2r,-1000.0,0.1,Active
ADEt,-0.2999999999999994,0.1,Active
ADK3,-0.5000000000000001,0.1,Active
ADK3m,-0.2000000000000006,0.1,Active
ADKd,-0.2,0.1,Active
ADMDC,0.0,0.1,Inactive
ADNt4,0.0,0.1,Inactive
ADNtl,-1.0224856535715532e-16,0.1,Active
ADNtm,-0.0999999999999999,0.1,Active
ADPMAN,0.0,0.1,Inactive
ADPRIBt,0.0,0.1,Inactive
ADRNCOAtx,-0.2000000000000014,0.1,Active
ADRNCRNt,-1000.0,0.1,Active
ADSL2r,1.63479887258617e-17,0.1000000000000001,Inactive
AG13T16g,0.0,0.009090909090909,Inactive
AG13T18g,0.0,0.009090909090909,Inactive
AG13T2g,0.0,0.01,Inactive
AGMTm,0.0,0.1,Inactive
AGTim,0.0,0.1,Inactive
AHANDROSTANGLCte,0.0,0.0999999999999999,Inactive
AHEXASE2ly,0.0,0.0333333333333333,Inactive
AIRCr,0.0,0.1,Inactive
AKGMALtm,-1000.0,0.1,Active
AKGt4_3,-1000.0,0.1,Active
AKR1C41,0.0,0.1,Inactive
AKR1D,0.0,0.1,Inactive
ALAGLYexR,-4.399999999999835,0.1,Active
ALASERNaEx,0.0,0.1,Inactive
ALASm,0.0,0.1,Inactive
ALATHRNaEx,0.0,0.1,Inactive
ALCD21_D,0.0,0.1,Inactive
ALCD22_D,0.0,0.1,Inactive
ALCD2y,0.0,0.1,Inactive
ALDD20xm,0.0,0.0999999999999999,Inactive
ALDD2xm,0.0,0.1,Inactive
ALDD2y,0.0,0.1,Inactive
ALDSTRNte,0.0,0.1,Inactive
ALDSTRNtm,-0.1,-2.0746099386365533e-17,Inactive
ALOX15,0.0,0.1,Inactive
ALR2,0.0,0.1,Inactive
ALR3,0.0,0.1,Inactive
AMACR2p,0.0,0.0999999999999995,Inactive
AMACRp,0.0,0.1,Inactive
AMETr,-0.1000000000000023,0.1,Active
AMETt2m,-0.1,0.1,Active
AMPDA,0.0,0.1,Inactive
AMY2e,0.0,0.1,Inactive
ANDRSTRNGLCte,0.0,0.1,Inactive
ANDRSTRNGLCtr,-0.1,1.3525029341062903e-16,Active
ANDRSTRNtr,-0.2999999999999995,0.1,Active
ANTIPYRENEte,0.0,0.1,Inactive
APOCFm,0.0,0.0999999999999999,Inactive
APOC_LYS_BTNP,0.0,0.1,Inactive
APRTO2,0.0,0.1,Inactive
ARAB_Lt,0.0,0.1,Inactive
ARABR,0.0,0.1,Inactive
ARACHDCOAtx,-0.3,0.1,Active
ARACHDt2,-1000.0,0.1,Active
ARACHt,-1000.0,0.1,Active
ARGDCm,0.0,0.1,Inactive
ARGLYSex,0.0,0.1,Inactive
ARGSS,0.0,0.1,Inactive
ARGt4,0.0,0.1,Inactive
ARTCOAL3_cho,0.0,0.1,Inactive
R_group_phosphotase_2,0.0,0.1,Inactive
R_group_phosphotase_3,0.0,0.1,Inactive
ASCBOX_1,0.0,0.1,Inactive
ASCBt,-0.4,0.1,Active
ASNCYSNaEx,0.0,0.1,Inactive
ASNGLNNaEx,0.0,0.1,Inactive
ASNNm,0.0,0.1,Inactive
ASNS1,0.0,0.1,Inactive
ASNt4,0.0,0.1,Inactive
ASPDxt,-0.0999999999999996,0.0,Inactive
ASPGLUm,0.0,0.1,Inactive
ASPNATm,0.0,0.1,Inactive
ASPt6,0.0,0.1,Inactive
ASPTAm,-0.4,0.1,Active
ATP1ter,2.6524311461507937e-33,0.1,Inactive
BILGLCURte,0.0,0.1,Inactive
BILIRED,0.0,0.1,Inactive
