symbol,log2fold_change,p_value,-log10(p_value),regulation
DDX11L1,0.036116388,0.879452686,0.05578752034733538,Not significant
WASH7P,0.008918395,0.970469981,0.013017893853861104,Not significant
LOC729737,0.006210679,0.982015092,0.007881837750773819,Not significant
FAM138D,0.033686694,0.800133914,0.09683732145283527,Not significant
LOC101928626,0.107664075,0.588726524,0.2300863974011056,Not significant
MIR6723,0.441058058,0.126747464,0.8970607213975795,Not significant
LOC100133331,0.601795337,0.041854374,1.3782591492644816,Not significant
LOC100288069,-0.323782237,0.085546777,1.067796347987083,Not significant
FAM87B,-0.277571429,0.176863668,0.7523613723343382,Not significant
LINC00115,-0.336373772,0.154450845,0.8112097113325316,Not significant
LINC01128,0.117984055,0.518620405,0.2851504000144718,Not significant
FAM41C,0.420299035,0.168184286,0.7742145841760162,Not significant
LOC100130417,-0.178403581,0.519490432,0.2844224468899975,Not significant
SAMD11,-0.098097313,0.688289535,0.16222883356453494,Not significant
NOC2L,0.285146338,0.042183723,1.374855093467946,Not significant
KLHL17,0.138697987,0.526817931,0.2783394516262998,Not significant
PLEKHN1,-0.035591345,0.863612331,0.06368116526436572,Not significant
PERM1,0.00278021,0.990707767,0.0040544321906346575,Not significant
HES4,-0.212397931,0.362846109,0.4402775297379843,Not significant
ISG15,0.131094977,0.666873443,0.175956577210533,Not significant
AGRN,-0.014377449,0.942378282,0.025774731169284627,Not significant
RNF223,-0.001201496,0.996831419,0.0013782819978212931,Not significant
C1orf159,-0.21335969,0.286797391,0.5424248037694295,Not significant
LINC01342,0.286163324,0.324258074,0.4891092012115282,Not significant
MIR200B,-0.12954371,0.683577036,0.16521253533983024,Not significant
MIR200A,-0.829152627,0.008552251,2.067919561504224,Not significant
MIR429,-0.652534943,0.036878369,1.4332282945046153,Not significant
TTLL10,0.274023444,0.320941631,0.4935739446655029,Not significant
TNFRSF18,-0.38709377,0.2057308,0.6867006851224341,Not significant
TNFRSF4,-0.055482473,0.833750847,0.07896371187930547,Not significant
SDF4,0.322108673,0.050637423,1.2955284042023427,Not significant
B3GALT6,-0.29178638,0.076963582,1.1137147277863473,Not significant
FAM132A,0.473376378,0.116031998,0.9354222294063751,Not significant
UBE2J2,0.054886244,0.646536657,0.18940684668226537,Not significant
SCNN1D,-0.026290273,0.903342985,0.044147323649852584,Not significant
ACAP3,0.071692491,0.7215863,0.14171172088031,Not significant
PUSL1,-0.121721274,0.531181346,0.27475718490418577,Not significant
CPSF3L,-0.017337416,0.900283873,0.04562052940656818,Not significant
MIR6727,0.004111038,0.975351934,0.010838650541582666,Not significant
CPTP,0.124947419,0.491732468,0.3082711152654412,Not significant
TAS1R3,-0.556076442,0.006619845,2.179152179205733,Not significant
DVL1,-0.142331049,0.410097131,0.38711326898422216,Not significant
MIR6808,0.021856432,0.869524145,0.06071835397791544,Not significant
MXRA8,-0.062059813,0.721424115,0.14180934463979486,Not significant
AURKAIP1,0.298018943,0.110924375,0.9549730096234956,Not significant
CCNL2,-0.287137085,0.01715292,1.7656619378986949,Not significant
LOC148413,0.070958655,0.605968062,0.21755026504606376,Not significant
MRPL20,0.38493099,0.001016279,2.992987048423432,Not significant
ANKRD65,-0.007437187,0.972378809,0.01216451428226729,Not significant
TMEM88B,0.046692884,0.882264017,0.05440143304462129,Not significant
LOC102724312,-0.328312558,0.25059826,0.6010219488048455,Not significant
VWA1,-0.136939521,0.511177095,0.29142861443097573,Not significant
ATAD3C,0.11314779,0.6658438,0.17662763983022936,Not significant
ATAD3B,5.68e-06,0.999972201,1.2073120113560966e-05,Not significant
ATAD3A,-0.035971609,0.837158469,0.07719232492426825,Not significant
TMEM240,0.262542941,0.335592437,0.4741878351084664,Not significant
SSU72,0.17655195,0.114122684,0.9426280229185525,Not significant
C1orf233,-0.198341156,0.293018789,0.5331045308493112,Not significant
MIB2,-0.042628281,0.813917518,0.08941960406959541,Not significant
MMP23B,0.334962236,0.289616989,0.538175965912237,Not significant
MMP23A,0.010026169,0.939934564,0.02690237989275742,Not significant
CDK11B,0.382414731,0.001933796,2.7135893424284214,Not significant
SLC35E2B,-0.153802477,0.411693084,0.38542642862035503,Not significant
CDK11A,-0.103025553,0.466735648,0.3309290276161305,Not significant
SLC35E2,-0.156634123,0.313374186,0.5039367811268022,Not significant
NADK,-0.095928358,0.464377215,0.3331290973799078,Not significant
GNB1,0.062555607,0.580070132,0.2365194959210141,Not significant
