,ids,growth,status
0,{'440.3'},0.10099999998857681,optimal
1,{'4843.2'},0.10099999998857681,optimal
2,{'2027.1'},0.10099999998857681,optimal
3,{'766.1'},0.10099999998857681,optimal
4,{'8992.1'},0.10099999998857681,optimal
5,{'2591.1'},0.10099999998857681,optimal
6,{'1537.1'},0.10099999998857681,optimal
7,{'10935.1'},0.1009999999885768,optimal
8,{'641371.1'},0.1009999999885768,optimal
9,{'6822.1'},0.1009999999885768,optimal
10,{'6571.1'},0.1009999999885768,optimal
11,{'410.1'},0.1009999999885768,optimal
12,{'4514.1'},0.10099999998854638,optimal
13,{'10312.1'},0.10099999998857695,optimal
14,{'267020.1'},0.10099999998857695,optimal
15,{'389015.1'},0.10099999998857695,optimal
16,{'645740.1'},0.10099999998857695,optimal
17,{'3631.2'},0.10099999998857695,optimal
18,{'6487.2'},0.10099999998857695,optimal
19,{'2585.2'},0.10099999998857695,optimal
20,{'126328.1'},0.10099999998857695,optimal
21,{'6547.6'},0.10099999998857691,optimal
22,{'4122.1'},0.10099999998857691,optimal
23,{'107.1'},0.10099999998857691,optimal
24,{'1716.1'},0.10099999998857691,optimal
25,{'54.1'},0.10099999998857691,optimal
26,{'4712.2'},0.10099999998857691,optimal
27,{'386757.1'},0.10099999998857691,optimal
28,{'200576.2'},0.10099999998857691,optimal
29,{'5295.2'},0.10099999998857691,optimal
30,{'84129.1'},0.10099999998857691,optimal
31,{'89874.1'},0.10099999998857691,optimal
32,{'362.1'},0.10099999998857691,optimal
33,{'1491.1'},0.10099999998857508,optimal
34,{'1103.1'},0.10099999998857526,optimal
35,{'54363.1'},0.10099999998857526,optimal
36,{'27430.2'},0.10099999998857526,optimal
37,{'9453.1'},0.10099999998857526,optimal
38,{'284129.1'},0.10099999998857445,optimal
39,{'3290.1'},0.10099999998857445,optimal
40,{'8622.1'},0.10099999998857445,optimal
41,{'51606.3'},0.10099999998857445,optimal
42,{'2977.1'},0.10099999998857445,optimal
43,{'6547.5'},0.10099999998857445,optimal
44,{'2592.1'},0.10099999998857445,optimal
45,{'4830.2'},0.10099999998857445,optimal
46,{'100507855.1'},0.10099999998857445,optimal
47,{'56894.2'},0.10099999998857445,optimal
48,{'2629.3'},0.10099999998857445,optimal
49,{'5152.11'},0.10099999998857445,optimal
50,{'9563.1'},0.10099999998857445,optimal
51,{'84693.1'},0.10099999998857694,optimal
52,{'5152.2'},0.10099999998857695,optimal
53,{'31.5'},0.10099999998857695,optimal
54,{'6560.1'},0.10099999998857695,optimal
55,{'132158.1'},0.10099999998857695,optimal
56,{'6581.1'},0.10099999998857695,optimal
57,{'23498.1'},0.10099999998857695,optimal
58,{'8821.1'},0.10099999998857695,optimal
59,{'64240.1'},0.10099999998857695,optimal
60,{'8877.1'},0.10099999998857695,optimal
61,{'23545.1'},0.10099999998857695,optimal
62,{'11226.1'},0.10099999998857695,optimal
63,{'1798.2'},0.10099999998857695,optimal
64,{'8836.1'},0.10099999998857695,optimal
65,{'9045.1'},0.10099999998857695,optimal
66,{'522.5'},0.10099999998857691,optimal
67,{'81031.1'},0.10099999998857691,optimal
68,{'2752.1'},0.10099999998857691,optimal
69,{'8228.1'},0.10099999998857691,optimal
70,{'10558.1'},,infeasible
71,{'549.1'},0.10099999998857703,optimal
72,{'10682.1'},,infeasible
73,{'955.1'},0.10099999998857703,optimal
74,{'594.2'},0.10099999998857691,optimal
75,{'4512.1'},0.10099999998857562,optimal
76,{'60481.1'},0.10099999998858761,optimal
77,{'1152.1'},0.10099999998858761,optimal
78,{'4245.1'},0.10099999998858761,optimal
79,{'10841.1'},0.10099999998858761,optimal
80,{'1384.3'},0.10099999998858758,optimal
81,{'527.1'},0.1009999999885876,optimal
82,{'1890.1'},0.1009999999885876,optimal
83,{'137872.1'},0.1009999999885876,optimal
84,{'51.2'},0.1009999999885876,optimal
85,{'2717.1'},0.1009999999885876,optimal
86,{'5319.1'},0.1009999999885876,optimal
87,{'6528.1'},0.1009999999885876,optimal
88,{'271.3'},0.1009999999885876,optimal
89,{'4712.1'},0.1009999999885876,optimal
90,{'5373.1'},0.1009999999885876,optimal
91,{'130013.1'},0.1009999999885876,optimal
92,{'2805.1'},0.10099999998857553,optimal
93,{'5297.1'},0.10099999998857698,optimal
94,{'26279.1'},0.10099999998857698,optimal
95,{'5210.1'},0.10099999998857698,optimal
96,{'178.1'},0.10099999998857698,optimal
97,{'1629.1'},0.10099999998857698,optimal
98,{'9060.1'},0.10099999998857695,optimal
99,{'535.1'},0.10099999998857695,optimal
100,{'8050.1'},0.10099999998857695,optimal
101,{'91734.1'},0.10099999998857695,optimal
102,{'2180.1'},0.10099999998857695,optimal
103,{'10135.1'},0.10099999998857695,optimal
104,{'8560.2'},0.10099999998857695,optimal
105,{'4952.1'},0.10099999998857695,optimal
106,{'6547.1'},0.10099999998857695,optimal
107,{'1606.1'},0.10099999998857695,optimal
108,{'51478.1'},0.10099999998857694,optimal
109,{'10975.1'},0.100999999988577,optimal
110,{'4831.1'},0.100999999988577,optimal
111,{'4907.1'},0.100999999988577,optimal
112,{'4536.1'},0.10099999998857451,optimal
113,{'92579.1'},0.10099999998857465,optimal
114,{'11041.1'},0.10099999998857465,optimal
115,{'55627.1'},0.10099999998857465,optimal
116,{'2645.3'},0.10099999998857465,optimal
117,{'8714.1'},0.10099999998857465,optimal
118,{'5152.14'},0.10099999998857465,optimal
119,{'4723.1'},0.10099999998857465,optimal
120,{'54020.1'},0.10099999998857465,optimal
121,{'9498.1'},0.10099999998857465,optimal
122,{'9468.1'},0.10099999998857465,optimal
123,{'2954.1'},0.10099999998857465,optimal
124,{'6584.1'},0.10099999998857465,optimal
125,{'54407.1'},0.10099999998857465,optimal
126,{'30061.1'},0.10099999998857465,optimal
127,{'4126.1'},0.10099999998857465,optimal
128,{'113675.1'},0.10099999998857465,optimal
129,{'8703.1'},0.10099999998857465,optimal
130,{'27165.1'},0.10099999998857465,optimal
131,{'8818.2'},0.10099999998857465,optimal
132,{'478.1'},0.10099999998857465,optimal
133,{'26.1'},0.10099999998857465,optimal
134,{'4706.1'},0.10099999998857465,optimal
135,{'4524.1'},,infeasible
136,{'10195.4'},0.10099999998857706,optimal
137,{'3028.1'},0.10099999998857706,optimal
138,{'10449.1'},0.1009999999885755,optimal
139,{'80270.1'},0.10099999998857462,optimal
140,{'6536.2'},0.10099999998857462,optimal
141,{'8647.1'},0.10099999998857462,optimal
142,{'5335.2'},0.10099999998857462,optimal
143,{'8170.1'},0.10099999998857462,optimal
144,{'56623.1'},0.10099999998857462,optimal
145,{'10423.2'},0.10099999998857462,optimal
146,{'6506.1'},0.10099999998857462,optimal
147,{'271.2'},0.10099999998857462,optimal
148,{'6579.1'},0.10099999998857462,optimal
149,{'4710.1'},0.10099999998857462,optimal
150,{'23563.2'},0.10099999998857462,optimal
151,{'10390.1'},0.100999999988577,optimal
152,{'1036.1'},,infeasible
153,{'1593.1'},0.10099999998857703,optimal
154,{'2356.1'},0.10099999998857703,optimal
155,{'3157.1'},0.1009999999885679,optimal
156,{'6558.1'},0.10099999998857526,optimal
157,{'6888.1'},0.10099999998857692,optimal
158,{'7350.1'},0.1009999999885769,optimal
159,{'376497.2'},0.1009999999885769,optimal
160,{'219.1'},0.1009999999885769,optimal
161,{'51292.3'},0.1009999999885769,optimal
162,{'1103.2'},0.1009999999885769,optimal
163,{'1468.1'},0.100999999988575,optimal
164,{'93010.1'},0.10099999998857526,optimal
165,{'3420.3'},0.10099999998857526,optimal
166,{'23417.1'},0.10099999998857526,optimal
167,{'7378.2'},0.10099999998857526,optimal
168,{'160851.1'},0.10099999998857526,optimal
169,{'7384.1'},0.10099999998857526,optimal
170,{'6522.1'},0.100999999988575,optimal
171,{'6999.1'},0.100999999988575,optimal
172,{'314.2'},0.100999999988575,optimal
173,{'2678.3'},0.100999999988575,optimal
