Genes,Sensitive,Resistant
DDX11L1,0.08671,0.072916667
WASH7P,30.90666667,35.13333333
MIR6859-1,28.96333333,37.70333333
WASH9P,1.719,2.955333333
LOC729737,19.76333333,24.55
DDX11L17,0.078123333,0.052776667
LOC102723897,24.92333333,28.20666667
MIR6859-2,10.81,17.08666667
LOC112268260,0.6147,0.975966667
LOC100132287,9.341,11.50066667
LOC105378947,0.14345,0.236033333
MIR12136,679.0666667,861.5
OR4F16,0.168133333,0.119743333
LOC100288069,6.016,7.509666667
LINC01409,0.2572,0.338066667
FAM87B,0.478233333,0.5456
LINC00115,1.846333333,1.359666667
LINC01128,3.134,2.739333333
LOC107984850,0.0293,0.056456667
FAM41C,0.188933333,0.3094
LOC284600,2.026333333,2.667
LINC02593,3.472333333,2.968666667
LOC107985728,1.942666667,1.705
SAMD11,16.94,10.56233333
NOC2L,153,88.59
KLHL17,16.99333333,17.37
PLEKHN1,9.519,6.851333333
PERM1,1.679333333,0.874266667
HES4,19.16,21.03
ISG15,234.4666667,137.2333333
AGRN,109.4266667,181.9666667
LOC100288175,14.31333333,13.74333333
LOC105378948,3.256333333,3.85
RNF223,4.387,1.667666667
C1orf159,15.39666667,12.51333333
TTLL10,0.04128,0.036803333
TNFRSF18,4.918666667,3.141
TNFRSF4,0.165833333,0.162666667
SDF4,77.36666667,94.57333333
B3GALT6,22.45333333,21.78
C1QTNF12,2.587666667,2.178333333
UBE2J2,18.03666667,15.77666667
LINC01786,2.065666667,3.424666667
SCNN1D,3.236333333,5.468
ACAP3,18.39666667,20.89
MIR6726,1.160566667,1.4235
SNORD167,9.766666667,7.993
PUSL1,32.60333333,23.07333333
INTS11,62.69333333,58.50666667
MIR6727,10.50433333,7.817333333
CPTP,16.84666667,13.87
TAS1R3,1.950666667,0.543866667
DVL1,81.75666667,59.48333333
MIR6808,7.891333333,9.93
MXRA8,9.459666667,4.732333333
AURKAIP1,128.3666667,81.53666667
CCNL2,34,55.16
MRPL20-AS1,22.93,19.21333333
MRPL20,117.5,69.51333333
ANKRD65,2.2657,0.395166667
ANKRD65-AS1,0.46748,0.151166667
TMEM88B,0.1077,0.10457
LINC01770,4.038,4.544
LOC107985729,2.464733333,2.327
VWA1,44.43666667,40.96
ATAD3C,2.246,1.228333333
ATAD3B,26.54,12.38333333
ATAD3A,67.22333333,31.21666667
TMEM240,0.16895,0.138243333
SSU72,172.8,130.0666667
FNDC10,9.151333333,9.964666667
LOC105378586,2.331,3.112666667
MIB2,6.647,12.28666667
MMP23B,1.157333333,2.408666667
CDK11B,26.24333333,20.81
SLC35E2B,13.37666667,25.96333333
MMP23A,1.61,6.053666667
CDK11A,22.05,19.59666667
