,Reaction,Original Flux,Tissue-specific Flux,Difference
0,24_25DHVITD3tm,0.0,0.0,0.0
1,25HVITD3t,0.0,0.0,0.0
2,COAtl,0.0,0.0,0.0
3,EX_5adtststerone_e,9.710901499729791e-14,1.9421802999459583e-13,-9.710901499729791e-14
4,EX_5adtststerones_e,1000.0000000000001,1000.0000000000001,0.0
5,EX_5fthf_e,0.0,0.0,0.0
6,EX_5htrp_e,0.0,0.0,0.0
7,EX_5mthf_e,1.426972004499822e-14,1.7731077066174755e-13,-1.6304105061674933e-13
8,EX_5thf_e,0.0,0.0,0.0
9,EX_6dhf_e,0.0,0.0,0.0
10,24_25VITD3Hm,0.0,0.0,0.0
11,24NPHte,0.0,0.0,0.0
12,10FTHF7GLUtl,0.0,0.0,0.0
13,10FTHFtm,0.0,0.0,0.0
14,11DOCRTSLtr,0.0,0.0,0.0
15,13DAMPPOX,0.0,0.0,0.0
16,24_25DHVITD2t,0.0,0.0,0.0
17,24_25DHVITD2tm,0.0,0.0,0.0
18,24_25DHVITD3t,0.0,0.0,0.0
19,25VITD2Hm,0.0,0.0,0.0
20,2AMACHYD,0.0,0.0,0.0
21,2AMACSULT,0.0,0.0,0.0
22,2AMADPTm,0.0,0.0,0.0
23,2MCITt,0.0,0.0,0.0
24,2OXOADOXm,0.0,0.0,0.0
25,2OXOADPTm,-986.198243412798,0.0,-986.198243412798
26,34DHXMANDACOX,0.0,0.0,0.0
27,34HPLFM,0.0,0.0,0.0
28,3AIBtm,0.0,0.0,0.0
29,3HAO,0.0,0.0,0.0
30,3MOBt2im,0.0,0.0,0.0
31,3MOPt2im,0.0,0.0,0.0
32,3MOXTYROX,0.0,0.0,0.0
33,3SALAOX,0.0,0.0,0.0
34,42A12BOOX,0.0,0.0,0.0
35,4HBZCOAFm,0.0,0.0,0.0
36,4HBZFm,0.0,0.0,0.0
37,4HDEBRISOQUINEte,0.0,0.0,0.0
38,4HOXPACDOX_NADP,0.0,0.0,0.0
39,4MOPt2im,243.45776141713284,999.9999999999997,-756.5422385828668
40,4MPTNLte,0.0,0.0,0.0
41,4NPHSULT,0.0,0.0,0.0
42,4PYRDX,0.0,0.0,0.0
43,5ADTSTSTERONEGLCtr,0.0,0.0,0.0
44,5ADTSTSTERONESULT,0.0,0.0,0.0
45,5ADTSTSTERONEte,-9.710901499729791e-14,-1.9421802999459583e-13,9.710901499729791e-14
46,5FTHFt2_1,0.0,0.0,0.0
47,5HOXINOXDA,0.0,0.0,0.0
48,5THFtl,0.0,0.0,0.0
49,5THFtm,0.0,0.0,0.0
50,7DHCHSTEROLtr,0.0,0.0,0.0
51,7DHFtm,0.0,0.0,0.0
52,A4GALTc,0.0,0.0,0.0
53,A4GALTg,0.0,0.0,0.0
54,A4GNT2g,0.0,0.0,0.0
55,AACTtm,0.0,0.0,0.0
56,ABO1g,0.0,0.0,0.0
57,ABO4g,0.0,0.0,0.0
58,ABO5g,0.0,0.0,0.0
59,ABO6g,0.0,0.0,0.0
60,ABO7g,0.0,0.0,0.0
61,ABO9g,0.0,0.0,0.0
62,ABTArm,-999.9999999999999,0.0,-999.9999999999999
63,ABTt,-708.4755977599846,0.0,-708.4755977599846
64,ABUTt2rL,0.0,0.0,0.0
65,ACACT10m,0.0,0.0,0.0
66,ACACT5p,0.0,0.0,0.0
67,ACACT8p,0.0,0.0,0.0
68,ACACT9p,0.0,0.0,0.0
69,ACALDtr,0.0,0.0,0.0
70,ACALDtx,0.0,0.0,0.0
71,ACCOALm,0.0,0.0,0.0
72,ACCOAtr,0.0,0.0,0.0
73,ACETONEt2,0.0,0.0,0.0
74,ACGAGBSIDEtl,0.0,0.0,0.0
75,ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,0.0,0.0,0.0
76,ACGALtlg,0.0,0.0,0.0
77,ACGAMK,0.0,0.0,0.0
78,ACGAMPM,0.0,0.0,0.0
79,ACGAMtly,0.0,0.0,0.0
80,ACGBGBSIDEtl,0.0,0.0,0.0
81,ACHtn,0.0,0.0,0.0
82,ACN13ACNGALGBSIDEtg,0.0,0.0,0.0
83,ACNACNGAL14ACGLCGALGLUSIDEtg,0.0,0.0,0.0
84,ACNACNGALGBSIDEtg,0.0,0.0,0.0
85,ACNAMlt,0.0,0.0,0.0
86,ACNAMtn,0.0,0.0,0.0
87,ACNGALACGLCGAL14ACGLCGALGLUSIDEte,0.0,0.0,0.0
88,ACNML,0.0,0.0,0.0
89,ACOAD10m,0.0,0.0,0.0
90,ACOAD8m,0.0,0.0,0.0
91,ACOAD9m,0.0,0.0,0.0
92,ACOAO7p,0.0,0.0,0.0
93,ACODA,0.0,0.0,0.0
94,ACONTm,-999.9999999999999,-1.2739691334085386e-13,-999.9999999999998
95,ACP1_FMN,0.0,0.0,0.0
96,ACS2,0.0,0.0,0.0
97,ACSRTNMT,0.0,0.0,0.0
98,ACt2r,-1000.0000000000001,0.0,-1000.0000000000001
99,ADEt,0.0,-380.77231108868995,380.77231108868995
100,ADK3m,-380.77231108869296,-380.77231108869,-2.9558577807620168e-12
101,ADMDC,0.0,0.0,0.0
102,ADNt4,0.0,0.0,0.0
103,ADNtl,0.0,0.0,0.0
104,ADNtm,-380.7723110886929,-380.77231108869,-2.8990143619012088e-12
105,ADPMAN,0.0,0.0,0.0
106,ADPRIBt,0.0,0.0,0.0
107,ADRNCOAtx,0.0,0.0,0.0
108,ADRNCRNt,0.0,0.0,0.0
109,ADSL2r,0.0,0.0,0.0
110,AG13T16g,0.0,0.0,0.0
111,AG13T18g,0.0,0.0,0.0
112,AG13T2g,0.0,0.0,0.0
113,AGMTm,0.0,0.0,0.0
114,AHANDROSTANGLCte,0.0,0.0,0.0
115,AHEXASE2ly,0.0,0.0,0.0
116,AIRCr,0.0,0.0,0.0
117,AKGMALtm,0.0,0.0,0.0
118,AKGt4_3,0.0,0.0,0.0
119,AKR1D,0.0,0.0,0.0
120,ALAGLYexR,0.0,576.2496872038778,-576.2496872038778
121,ALASERNaEx,0.0,0.0,0.0
122,ALASm,0.0,0.0,0.0
123,ALATHRNaEx,0.0,0.0,0.0
124,ALCD21_D,0.0,1000.0000000000001,-1000.0000000000001
125,ALCD22_D,0.0,0.0,0.0
126,ALCD2y,0.0,0.0,0.0
127,ALDD20xm,0.0,0.0,0.0
128,ALDD2xm,0.0,0.0,0.0
129,ALDD2y,0.0,0.0,0.0
130,ALDSTRNte,0.0,0.0,0.0
131,ALDSTRNtm,0.0,0.0,0.0
132,ALOX15,0.0,0.0,0.0
133,ALR2,160.13226764103095,0.0,160.13226764103095
134,ALR3,0.0,0.0,0.0
135,AMACR2p,96.612296110415,303.1662395098465,-206.5539433994315
136,AMACRp,0.0,0.0,0.0
137,AMETr,-880.1507373402898,-346.06917983858034,-534.0815575017094
138,AMETt2m,0.0,0.0,0.0
139,AMPDA,1000.0,1000.0,0.0
140,AMY2e,0.0,0.0,0.0
141,ANDRSTRNGLCte,0.0,0.0,0.0
142,ANDRSTRNGLCtr,0.0,0.0,0.0
143,ANDRSTRNtr,0.0,0.0,0.0
144,ANTIPYRENEte,0.0,0.0,0.0
145,APOCFm,0.0,0.0,0.0
146,APOC_LYS_BTNP,0.0,0.0,0.0
147,APRTO2,0.0,0.0,0.0
148,ARAB_Lt,708.4755977599846,361.41098933186964,347.0646084281149
149,ARABR,708.4755977599846,361.41098933186964,347.0646084281149
150,ARACHDCOAtx,0.0,0.0,0.0
151,ARACHDt2,0.0,11.398029243483789,-11.398029243483789
152,ARACHt,0.0,0.0,0.0
153,ARGDCm,0.0,0.0,0.0
154,ARGLYSex,0.0,0.0,0.0
155,ARGSS,0.0,0.0,0.0
156,ARGt4,0.0,0.0,0.0
157,ARTCOAL3_cho,0.0,0.0,0.0
