Reaction_ID,Confidence_Level
EX_5adtststerone_e,-1
EX_5fthf_e,-1
EX_5mthf_e,-1
EX_5thf_e,-1
2AMADPTm,-1
2OXOADPTm,-1
34DHPHEt,-1
4HBZCOAFm,-1
4HBZFm,-1
5ADTSTSTERONEGLCtr,-1
5ADTSTSTERONEte,-1
5FTHFt2_1,-1
A4GALTc,-1
A4GALTg,-1
AACTtm,-1
ABTArm,-1
ABUTt2rL,-1
ACCOAtr,-1
ACGAMK,-1
ACGAMPM,-1
ACGAMtly,-1
ACN13ACNGALGBSIDEtg,-1
ACNML,-1
ACONTm,-1
ACt2r,-1
ADEt,-1
ADK3,-1
ADK3m,-1
ADNtm,-1
ADPRIBt,-1
ADSL2r,-1
AGTim,-1
AHANDROSTANGLCte,-1
AIRCr,-1
AKGMALtm,-1
AKGt4_3,-1
ALASm,-1
ALCD22_D,-1
ALCD2y,-1
ALDD2y,-1
AMETt2m,-1
AMPDA,-1
ANDRSTRNGLCte,-1
ANDRSTRNGLCtr,-1
ANDRSTRNtr,-1
ARGDCm,-1
ARGt4,-1
ASNNm,-1
ASPGLUm,-1
ASPTAm,-1
BILGLCURte,-1
ATPasel_1,-1
B3GALT3g,-1
B3GNT37g,-1
BILDGLCURt,-1
C160CPT1,-1
C160CPT2,-1
C180CPT1,-1
C226CPT1,-1
C226CPT2,-1
C3STDH1r,-1
C4STMO1r,-1
CATm,-1
CATp,-1
CDIPTr,-1
CHOLK,-1
CITRtm,-1
CITtam,-1
ACNMCT,-1
CO2tm,-1
COAtim,-1
COQ3m,-1
COQ6m,-1
COQ7m,-1
CRNt,-1
CRNtuNa,-1
CSAPASEly,-1
CSCPASEly,-1
CSEPASEly,-1
CSNAT2x,-1
CSPG_Atly,-1
CSPG_Ctly,-1
CSPG_Dtly,-1
CYSGLYex,-1
CYSO,-1
CYTDt,-1
CYTK12,-1
CYTK14,-1
CPK1,-1
CYTK7,-1
DAGK_hs,-1
DATPtn,-1
DCSPTN1CPT1,-1
DCSPTN1t,-1
DCTPtn,-1
