Genes,ReactionID,Reaction,SensitiveScore
AOC1,RE0688E,RE0688,0.332833333
AOC1,r0281,Putrescine:oxygen oxidoreductase (deaminating) Urea cycle and metabolism of amino groups EC:1.4.3.6,0.332833333
AOC1,RE0828E,RE0828,0.332833333
AOC1,RE0689E,RE0689,0.332833333
AOC1,MHISOR,N-Methylhistamine:oxygen oxidoreductase (deaminating),0.332833333
AOC1,HISTASE,HISTASE,0.332833333
AOC1,MAOX,Methylamine:oxygen oxidoreductase (deaminating) (copper-containing),0.332833333
AOC1,RE0827E,RE0827,0.332833333
AOC1,13DAMPPOX,"1,3-Diaminopropane:oxygen oxidoreductase (deaminating)",0.332833333
AOC1,RE3367E,RE3367,0.332833333
AOC1,PEAMNO,Phenethylamine oxidase,0.332833333
AOC1,PTRCOX1,Putrescine:oxygen oxidoreductase (deaminating),0.332833333
AOC1,RE0690E,RE0690,0.332833333
AOC1,TRYPTAOX,Tryptamine:oxygen oxidoreductase(deaminating)(flavin-containing),0.332833333
AOC1,42A12BOOX,"4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",0.332833333
AOC2,MHISOR,N-Methylhistamine:oxygen oxidoreductase (deaminating),8.341
AOC2,HISTASE,HISTASE,8.341
AOC2,MAOX,Methylamine:oxygen oxidoreductase (deaminating) (copper-containing),8.341
AOC2,13DAMPPOX,"1,3-Diaminopropane:oxygen oxidoreductase (deaminating)",8.341
AOC2,PEAMNO,Phenethylamine oxidase,8.341
AOC2,PTRCOX1,Putrescine:oxygen oxidoreductase (deaminating),8.341
AOC2,TRYPTAOX,Tryptamine:oxygen oxidoreductase(deaminating)(flavin-containing),8.341
AOC2,42A12BOOX,"4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",8.341
AOC3,42A12BOOX,"4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",2.868333333
AOC3,MAOX,Methylamine:oxygen oxidoreductase (deaminating) (copper-containing),2.868333333
AOC3,PTRCOX1,Putrescine:oxygen oxidoreductase (deaminating),2.868333333
AOC3,AACTOOR,Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing),2.868333333
AOC3,MHISOR,N-Methylhistamine:oxygen oxidoreductase (deaminating),2.868333333
AOC3,13DAMPPOX,"1,3-Diaminopropane:oxygen oxidoreductase (deaminating)",2.868333333
AOC2,MHISOR,N-Methylhistamine:oxygen oxidoreductase (deaminating),8.341
AOC2,HISTASE,HISTASE,8.341
AOC2,MAOX,Methylamine:oxygen oxidoreductase (deaminating) (copper-containing),8.341
AOC2,13DAMPPOX,"1,3-Diaminopropane:oxygen oxidoreductase (deaminating)",8.341
AOC2,PEAMNO,Phenethylamine oxidase,8.341
AOC2,PTRCOX1,Putrescine:oxygen oxidoreductase (deaminating),8.341
AOC2,TRYPTAOX,Tryptamine:oxygen oxidoreductase(deaminating)(flavin-containing),8.341
AOC2,42A12BOOX,"4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",8.341
CYP24A1,24_25VITD3Hm,24R-Vitamin D-25-hydroxylase (D3),10.222
CYP24A1,24_25VITD2Hm,24R-Vitamin D-25-hydroxylase (D2),10.222
CYP27B1,25HVITD3c,1-alpha hydroxylation of 25-hydroxy vitamin D,1.791333333
CYP27B1,25VITD3Hm,1-alpha-Vitamin D-25-hydroxylase (D3),1.791333333
CYP27B1,25VITD2Hm,1-alpha-Vitamin D-25-hydroxylase (D2),1.791333333
SDS,SERHL,L-Serine hydro-lyase,0.168476667
SDS,SERD_L,L-serine deaminase,0.168476667
SDS,THRD_L,L-threonine deaminase,0.168476667
SDS,2AMACHYD,2-Aminoacrylate hydrolysis,0.168476667
SULT1A3,NRPPHRSULT,Norepinephrine Sulfotransferase,24.05666667
SULT1A3,HMR_6850,HMR 6850,24.05666667
SULT1A3,ESTSULT,Estrogen sulfotransferase,24.05666667
SULT1A3,HMR_6844,HMR 6844,24.05666667
SULT1A3,PAPSR,Phosphoadenylyl-sulfate reductase (thioredoxin),24.05666667
SULT1A3,4NPHSULT,4-Nitrophenol Sulfotransferase,24.05666667
SULT1A3,RE0912C,RE0912,24.05666667
SULT1A3,DOPASULT4,Dopamine 4-O-Sulfotransferase,24.05666667
SULT1A3,DHEASULT,Dehydroepiandrosterone sulfotransferase,24.05666667
SULT1A3,TRIODTHYSULT,Triiodothyronine Sulfotransferase,24.05666667
SULT1A3,PRGNLONESULT,Steroid sulfotransferase,24.05666667
SULT1A3,5ADTSTSTERONESULT,5alpha-Dihydrotestosterone sulfotransferase,24.05666667
SULT1A3,TYMSULT,Tyramine Sulfotransferase,24.05666667
SULT1A3,2AMACSULT,2-Aminoacrylate sulfotransferase,24.05666667
SULT1A3,CHSTEROLSULT,Steroid sulfotransferase,24.05666667
SULT1A3,HMR_6838,HMR 6838,24.05666667
SULT1A3,TSTSTERONESULT,Testosterone sulfotransferase,24.05666667
SULT1A3,DOPASULT,Dopamine Sulfotransferase,24.05666667
SLC25A21,2OXOADPTm,2-oxoadipate shuttle (cytosol/mitochondria),1.311
SLC25A21,r0879,TCDB:2.A.29.2.4 TCDB:2.A.29.16.1,1.311
SLC25A21,2AMADPTm,L-2-aminoadipate shuttle (cytosol/mitochondria),1.311
UEVLD,2H3MVc,Formation of 2-Hydroxy-3-Methyl-Valerate,17.97666667
UEVLD,LDH_L,L-lactate dehydrogenase,17.97666667
UEVLD,GLXO1,Glyoxylate oxidase,17.97666667
UEVLD,MCLORi,3-Mercaptolactate:NAD+ oxidoreductase irreversible,17.97666667
UEVLD,2HBO,2 HydroxybutyrateNAD oxidoreductase,17.97666667
UEVLD,2HIVc,Formation of 2-Hydroxy-Isovalerate,17.97666667
LDHB,GLXO1,Glyoxylate oxidase,667.9
LDHB,r0173,(S)-Lactate:NAD+ oxidoreductase Glycolysis / Gluconeogenesis / Pyruvate metabolism EC:1.1.1.27,667.9
LDHB,2HBO,2 HydroxybutyrateNAD oxidoreductase,667.9
LDHB,2HIVc,Formation of 2-Hydroxy-Isovalerate,667.9
LDHB,LDH_L,L-lactate dehydrogenase,667.9
LDHB,2H3MVc,Formation of 2-Hydroxy-3-Methyl-Valerate,667.9
LDHB,HPYRR2x_1,Hydroxypyruvate Reductase (NADH),667.9
LDHB,MCLORi,3-Mercaptolactate:NAD+ oxidoreductase irreversible,667.9
LDHB,LDH_Lm,"L-lactate dehydrogenase, mitochondria",667.9
LDHAL6B,2H3MVc,Formation of 2-Hydroxy-3-Methyl-Valerate,0.204433333
LDHAL6B,LDH_L,L-lactate dehydrogenase,0.204433333
LDHAL6B,GLXO1,Glyoxylate oxidase,0.204433333
LDHAL6B,HPYRR2x_1,Hydroxypyruvate Reductase (NADH),0.204433333
LDHAL6B,MCLORi,3-Mercaptolactate:NAD+ oxidoreductase irreversible,0.204433333
LDHAL6B,2HBO,2 HydroxybutyrateNAD oxidoreductase,0.204433333
LDHAL6B,2HIVc,Formation of 2-Hydroxy-Isovalerate,0.204433333
LDHAL6A,2H3MVc,Formation of 2-Hydroxy-3-Methyl-Valerate,0.13704
LDHAL6A,LDH_L,L-lactate dehydrogenase,0.13704
LDHAL6A,GLXO1,Glyoxylate oxidase,0.13704
LDHAL6A,HPYRR2x_1,Hydroxypyruvate Reductase (NADH),0.13704
LDHAL6A,MCLORi,3-Mercaptolactate:NAD+ oxidoreductase irreversible,0.13704
LDHAL6A,2HBO,2 HydroxybutyrateNAD oxidoreductase,0.13704
LDHAL6A,2HIVc,Formation of 2-Hydroxy-Isovalerate,0.13704
LDHC,2H3MVc,Formation of 2-Hydroxy-3-Methyl-Valerate,6.140333333
LDHC,LDH_L,L-lactate dehydrogenase,6.140333333
LDHC,GLXO1,Glyoxylate oxidase,6.140333333
LDHC,HPYRR2x_1,Hydroxypyruvate Reductase (NADH),6.140333333
LDHC,MCLORi,3-Mercaptolactate:NAD+ oxidoreductase irreversible,6.140333333
LDHC,2HBO,2 HydroxybutyrateNAD oxidoreductase,6.140333333
LDHC,2HIVc,Formation of 2-Hydroxy-Isovalerate,6.140333333
LDHC,GLXO1,Glyoxylate oxidase,6.140333333
LDHC,r0173,(S)-Lactate:NAD+ oxidoreductase Glycolysis / Gluconeogenesis / Pyruvate metabolism EC:1.1.1.27,6.140333333
LDHC,2HBO,2 HydroxybutyrateNAD oxidoreductase,6.140333333
LDHC,2HIVc,Formation of 2-Hydroxy-Isovalerate,6.140333333
LDHC,LDH_L,L-lactate dehydrogenase,6.140333333
LDHC,2H3MVc,Formation of 2-Hydroxy-3-Methyl-Valerate,6.140333333
LDHC,HPYRR2x_1,Hydroxypyruvate Reductase (NADH),6.140333333
LDHC,MCLORi,3-Mercaptolactate:NAD+ oxidoreductase irreversible,6.140333333
LDHA,GLXO1,Glyoxylate oxidase,1961.333333
LDHA,r0173,(S)-Lactate:NAD+ oxidoreductase Glycolysis / Gluconeogenesis / Pyruvate metabolism EC:1.1.1.27,1961.333333
LDHA,2HBO,2 HydroxybutyrateNAD oxidoreductase,1961.333333
LDHA,2HIVc,Formation of 2-Hydroxy-Isovalerate,1961.333333
LDHA,LDH_L,L-lactate dehydrogenase,1961.333333
LDHA,2H3MVc,Formation of 2-Hydroxy-3-Methyl-Valerate,1961.333333
LDHA,HPYRR2x_1,Hydroxypyruvate Reductase (NADH),1961.333333
LDHA,MCLORi,3-Mercaptolactate:NAD+ oxidoreductase irreversible,1961.333333
LDHA,LDH_Lm,"L-lactate dehydrogenase, mitochondria",1961.333333
ACOT12,ACOAH,Acetyl-CoA hydrolase,0.096323333
ACOT12,ACOAHim,Acetyl CoA hydrolase  mitochondrial  irreversible,0.096323333
ACOX1,FAOXC183806x,Beta oxidation of long chain fatty acid,14.93666667
ACOX1,FAOXC180x,Beta oxidation of long chain fatty acid,14.93666667
